"Rank","Team","Wins","Losses","Rating","City","State"
1,"Sockeye",16,4,38.8882785413883,"Seattle","WA"
2,"Revolver",15,3,35.2831186338948,"San Francisco","CA"
3,"Ironside",17,8,16.968140809358,"Boston","MA"
4,"Truck Stop",15,5,16.6795333633518,"Washington","DC"
5,"HIGH FIVE",14,6,14.765485333464,"Ohio","MI"
6,"Ring of Fire",11,3,13.8656248024881,"Raleigh","NC"
7,"Chicago Machine",9,9,11.2736194989278,"Chicago","IL"
8,"Johnny Bravo",12,7,10.7986635043758,"Denver","CO"
9,"Dig",13,4,10.643664162126,"Boston","MA"
10,"PoNY",10,8,9.47386890728896,"New York","NY"
11,"Patrol",10,9,8.34906900100114,"Philadelphia","PA"
12,"Sub Zero",9,10,8.25113509367044,"Minneapolis","MN"
13,"GOAT",7,4,5.86564403925899,"Toronto","Ontario"
14,"Doublewide",8,5,5.2211795576898,"Austin","TX"
15,"Guerrilla",7,13,4.92821758712013,"Oakland","CA"
16,"Medicine Men",14,10,4.26222553213294,"Baltimore","MD"
17,"SoCal Condors",7,5,4.03096876372475,"Calico","CA"
18,"Florida United",10,1,3.97829483379753,"Florida","FL"
19,"Chain Lightning",9,10,3.72619737865303,"Atlanta","GA"
20,"Rhino",10,9,2.89888508784834,"Portland","OR"
21,"Inception",13,6,2.73968530832886,"Denver","CO"
22,"Madison Club",5,12,2.42631480190011,"Madison","WI"
23,"Pittsburgh Temper",5,6,2.37262287433054,"Pittsburgh","PA"
24,"Furious George",6,12,2.34134936914788,"Vancouver","BC"
25,"Freaks",20,4,2.03945085748671,"Huntsville","AL"
26,"Richmond Floodwall",15,4,1.81844276271752,"Richmond","VA"
27,"Mad Men",16,5,1.68917585667574,"Madison","WI"
28,"CUS Bologna",1,6,1.62705883813237,"Bologna","Emilia Romagna"
29,"Brickyard",16,4,1.53672307734779,"Indianapolis","IN"
30,"Smokestack",11,8,1.46294247789632,"Cleveland","OH"
31,"Clapham Ultimate",2,5,1.31236525922345,"London","UK"
32,"Prairie Fire",5,14,1.26400095692144,"Kansas City","KS"
33,"Garden State Ultimate",19,8,1.10822376302801,"Princeton","NJ"
34,"Black Market",19,8,1.08916469601062,"Lombard","IL"
35,"Illusion",17,4,0.906531220836272,"Iowa City","IA"
36,"Ironmen",14,10,0.803117026179535,"Birmingham","AL"
37,"Turbine",10,8,0.723728640405799,"Durham","NC"
38,"Lost Boys",13,7,0.614173504905852,"South Carolina","SC"
39,"General Strike",4,3,0.564636078281194,"Winnipeg","Manitoba"
40,"Inside Rakete",0,7,0.555504750516763,"Darmstadt","Hesse"
41,"Haymaker",13,9,0.492373243799358,"Chicago","IL"
42,"Voodoo",11,2,0.488166513271505,"Seattle","WA"
43,"MKE",16,5,0.486751999892886,"Milwaukee","WI"
44,"Dark Star",17,1,0.480588526104886,"Eugene","OR"
45,"Sprawl",13,0,0.476931809597559,"Phoenix","AZ"
46,"Beachfront Property",11,17,0.44587040334086,"Chicago","IL"
47,"Cash Crop",7,3,0.411276444290776,"Triangle","NC"
48,"Blade",4,10,0.385193375690045,"Nashville","TN"
49,"Bullet",11,14,0.310747578382081,"Atlanta","GA"
50,"Kentucky Flying Circus",16,10,0.293842936557876,"Louisville","KY"
51,"Cerberus",12,14,0.270864183725048,"Athens","GA"
52,"Omen",16,6,0.265521293329173,"Orlando","FL"
53,"Rush Hour",12,9,0.259419768281278,"Atlanta","GA"
54,"Colt",12,4,0.241667965644321,"Southington","CT"
55,"CITYWIDE Special",8,7,0.240796326150605,"Philadelphia","PA"
56,"John Doe",4,7,0.23086997274817,"Washington","DC"
57,"Enigma",11,15,0.229205845605127,"Dayton","OH"
58,"Schweingeist",12,9,0.228371280713979,"Cincinnati","OH"
59,"Streetgang",9,4,0.225249480915848,"San Diego","CA"
60,"Big Wrench",5,14,0.221343735077419,"Somerville","MA"
61,"Blueprint",15,9,0.210626719346133,"NYC","NY"
62,"CaSTLe",6,9,0.201636135376289,"St. Louis","MO"
63,"Black Market X",6,0,0.180687711268993,"Lombard","IL"
64,"Oakgrove Boys",6,6,0.175598540701897,"ARLINGTON","VA"
65,"Phoenix",2,4,0.17351263985697,"Ottawa, ON","Ontario"
66,"Imperial",7,8,0.169799198946321,"Saint Paul","MN"
67,"Choice City Hops",11,8,0.167264625031415,"Fort Collins","CO"
68,"Wisconsin Hops",7,8,0.163980237424932,"Stevens Point","WI"
69,"Rougaroux",9,6,0.160096545520872,"Baton Rouge/New Orleans","LA"
70,"Pesterbug",14,5,0.152052673665226,"Pawtucket","RI"
71,"The Roofing Co.",8,7,0.146119140549314,"Indianapolis","IN"
72,"Four",7,6,0.141922138642141,"Ann Arbor","MI"
73,"Dallas United: Desperados",6,7,0.135726805800198,"Dallas","TX"
74,"South Shore Line",7,7,0.134848346013106,"Chicago","IL"
75,"Chattanooga Gentlemen's Club",7,12,0.13452617293634,"Chattanooga","TN"
76,"BaNC",12,9,0.134139634707483,"Charlotte","NC"
77,"Rampage",3,7,0.128471618838639,"Huntsville","AL"
