"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Wild Card",6,0,"Club","Mixed","Boston","MA","/teams/events/Eventteam/?TeamId=gu%2fYz2LSyoM9EqZKG9M0h7bL9lSEVUfZxMd6hOgvJTo%3d",32,13.5395766906924
"2","Slow White",6,1,"Club","Mixed","Boston","MA","/teams/events/Eventteam/?TeamId=LWmzGXMvYrXrW3jtfmhXgt4bj4F2SgOCO33RwPHnFSk%3d",24,10.7114207270065
"3","Snake Country Bromance",5,1,"Club","Mixed","SOMERVILLE","MA","/teams/events/Eventteam/?TeamId=mOHZTOTZgUOP9%2fAVXpMCl5LFrV%2fO9FKAoo9Eaz%2beVMw%3d",25,3.69402387475738
"4","Freakshow",2,0,"Club","Mixed","Newark","DE","/teams/events/Eventteam/?TeamId=ft97Ymgnd3NglRHfWo9dZWuw%2fBca2fhAEH8vRKDsPyM%3d",10,1.16666666666667
"5","Battleship",3,2,"Club","Mixed","St-Jean-sur-Richelieu","Quebec","/teams/events/Eventteam/?TeamId=hoYCLaGj6vCV3dPoV0nF1n3otJf7%2bYOBjWALg%2b6SJBA%3d",5,1.12029933229347
"6","XIST",5,1,"Club","Mixed","New York","NY","/teams/events/Eventteam/?TeamId=Qr%2fu0XuKval3x3ZHpFdCLwaFDWEx2Xc8zgQT1bQuxjI%3d",33,1.04826249913767
"7","Geekshow",0,2,"Club","Mixed","Newark","DE","/teams/events/Eventteam/?TeamId=LXO%2b7RLu0JogcIt9%2fol5QT4oTahu64%2bowy1xdvPc9tw%3d",12,0.833333333333333
"8","Anchor",4,2,"Club","Mixed","Halifax","Nova Scotia","/teams/events/Eventteam/?TeamId=%2fkr2IXXvIK7559yw5Fk6VGcG0N5u78m8yOcPDoEmWEI%3d",3,0.331311343276442
"9","Grand Army",2,3,"Club","Mixed","Brooklyn","NY","/teams/events/Eventteam/?TeamId=YxUBdCiiYcp8ilzFM8Opd5LdB4M9TkDdW6n%2b7ls7uJo%3d",13,0.132885988059134
"10","Darkwing",1,4,"Club","Mixed","Mansfield","MA","/teams/events/Eventteam/?TeamId=zjUxayWv88pc4%2bCgBIJ9UVqI9ZD6PYH1GR0u6%2fjCtBE%3d",8,0.13198966747736
"11","VIP Club",2,3,"Club","Mixed","Quebec","QC","/teams/events/Eventteam/?TeamId=4zAAfZP2gF2d%2fcZWMPPs%2fc2QrMjkFPYG7bsS3TB0zC8%3d",31,0.0578805388115935
"12","Garbage Plates",7,1,"Club","Mixed","Rochester","NY","/teams/events/Eventteam/?TeamId=XQD8u4%2fjkuwxqiuu080nRspeYOd0nHXa5hDYJCS2l88%3d",11,0.0542934566168248
"13","Animals",1,5,"Club","Mixed","Sherbrooke","Québec","/teams/events/Eventteam/?TeamId=MUql61MeHzqyYa0z12%2bF5cqhGxr73DMZc8oYBG8F2rk%3d",4,0.0486503190960974
"14","Titan NE",3,2,"Club","Mixed","Bar Harbor","ME","/teams/events/Eventteam/?TeamId=xBWjuqoRBcIJXLvnDV8Te%2fqTaJHVFv%2byQeayN9vRikM%3d",28,0.0368748572484437
"15","Sunken Circus",1,4,"Club","Mixed","Portland","ME","/teams/events/Eventteam/?TeamId=dXiPTp61fN%2br3z5c2%2f9THS%2b36e66KgTA0EKcJgESwOk%3d",27,0.0277846621738309
"16","Buffalo Lake Effect",5,1,"Club","Mixed","Buffalo","NY","/teams/events/Eventteam/?TeamId=ff4OJp7pk%2bK8MAK7RZWtzv7AKsslSCENvjRYenS89Gc%3d",7,0.0174891808456654
"17","DTH",5,3,"Club","Mixed","Cambridge","MA","/teams/events/Eventteam/?TeamId=lraDauImJczL6ZLL4tD9cpytWz2eCIHjoz%2frljJ62FU%3d",9,0.0112698822674472
"18","Alternative Stacks",5,3,"Club","Mixed","Fairfield","CT","/teams/events/Eventteam/?TeamId=az%2fstrfq76TdAjuqLMZ68aLUniChaJwyTBDVfupUNT4%3d",2,0.00952484838094665
"19","Powermove",3,2,"Club","Mixed","New York","NY","/teams/events/Eventteam/?TeamId=nJKbO25neQw1bytzgTL1iEJjs6mjKOqcyB3VfNNSNCs%3d",17,0.0065771971858322
"20","Mixed Nuts",1,4,"Club","Mixed","Boston","MA","/teams/events/Eventteam/?TeamId=sLokzcLXt1G6FepACc%2brh%2f4C3BU9GlhdjKP9PT%2biuAM%3d",15,0.00542311974297522
"21","Rainbow",4,3,"Club","Mixed","Somerville","MA","/teams/events/Eventteam/?TeamId=ULJjSzl%2bqwdNIVcu6jx%2fNRK3Mbt3VwNCF5%2fbmb5YLco%3d",21,0.00355652337221169
"22","RUT",4,3,"Club","Mixed","Burlington","VT","/teams/events/Eventteam/?TeamId=m4%2bz9tOtp%2bFRcg02ZYPTid3j7RR0vag%2fMTtXmOGCwPk%3d",22,0.00254201534711639
"23","Quest",2,6,"Club","Mixed","Québec","Québec","/teams/events/Eventteam/?TeamId=ba1%2bFOaEdreklusquzesoyx7OrzqzYx%2f8OIKHDrIcVc%3d",19,0.0020998089632791
"24","Unlimited Swipes",4,2,"Club","Mixed","New York","NY","/teams/events/Eventteam/?TeamId=7IQwz6bOZoF4V4hcbmxv4ciZ8AmL5wNSlmqs63POAnc%3d",29,0.00177011410164155
"25","Scarecrow",2,3,"Club","Mixed","Concord","NH","/teams/events/Eventteam/?TeamId=vV0fR32%2b3KIAeRHE3IDzb5FW0Mq6DghdsLX71ip6bxk%3d",23,0.00141743941201815
"26","Spawn",2,3,"Club","Mixed","Fredericton","NB","/teams/events/Eventteam/?TeamId=Lvm9PC5uidV8BedPLHottZ5VLt1wq%2bbBlrgQEtT6rmo%3d",26,0.000847397198752179
"27","HAOS",1,3,"Club","Mixed","Watertown","MA","/teams/events/Eventteam/?TeamId=M%2f6oy5gDDJbm8gSfE5e2tnqpEvQeHQ8naKCB11T7Ceo%3d",14,0.00080043768158204
"28","Providence Mob",1,4,"Club","Mixed","Providence","RI","/teams/events/Eventteam/?TeamId=1qajl3rTdYnTsT%2bEhbPGpOK9VAAbT9jyunZvpD%2btWSI%3d",18,0.000631341980109116
"29","Pink Pear",1,4,"Club","Mixed","NYC","NY","/teams/events/Eventteam/?TeamId=4ZIJCc33Nl1aImFGmh207nkW67mGfu0THO0i400g6Bs%3d",16,0.00027329423416905
"30","Raft Ultimate",1,3,"Club","Mixed","Ottawa","Ontario","/teams/events/Eventteam/?TeamId=Ju3ppC4zhxLSmQqrrfLq%2fkjmMCa32NOkGkzJTr6%2bAqc%3d",20,0.000225972586333914
"31","Beezer Ultimate",1,4,"Club","Mixed","Durham","NH","/teams/events/Eventteam/?TeamId=RQC5cUdR63oTWFDvf2neY7ZtN9q62jJPg4uFbsnWx7I%3d",6,0.000132147730449865
"32","Albany Airbenders",0,4,"Club","Mixed","Albany","NY","/teams/events/Eventteam/?TeamId=LXInnMrryPqk5H4hpigkE80RxHXNNVcR%2fivkdmQ5fKc%3d",1,0.000122081916469715
"33","Varsity",0,4,"Club","Mixed","New York","NY","/teams/events/Eventteam/?TeamId=BhpPLOw9MdoTpd9jXDK%2fXb9fa3b0qvT5FtUTRwCLnmo%3d",30,4.32404057411755e-05
