"Rank","Team","Wins","Losses","Rating","City","State"
1,"Seattle Mixtape",16,3,25.286809206822,"Seattle","WA"
2,"Wild Card",29,2,23.4651724541746,"Boston","MA"
3,"Slow White",21,6,21.159772721722,"Boston","MA"
4,"BFG",18,6,16.5226808516954,"Seattle","WA"
5,"AMP",11,3,16.0301408396093,"Philadelphia","PA"
6,"Drag'n Thrust",12,7,11.0912050748898,"Minneapolis","MN"
7,"Blackbird",17,8,9.7261723063956,"San Francisco","CA"
8,"Steamboat",15,10,8.98110222101273,"Cincinnati","OH"
9,"Mischief",12,8,7.11220674554673,"San Francisco Bay Area","CA"
10,"shame.",15,5,6.86057014314754,"Fort Collins","CO"
11,"Toro",23,3,6.80416679395704,"Durham","NC"
12,"NOISE",11,8,6.57380088588103,"Madison","WI"
13,"Metro North",13,7,5.39104237828712,"Mianus","CT"
14,"The Chad Larson Experience",12,11,4.73018716771583,"Ames","IA"
15,"Love Tractor",12,6,4.47763053492572,"Denver","CO"
16,"7 Figures",18,3,3.91555706483339,"Los Angeles","CA"
17,"Ambiguous Grey",11,7,3.67872589163827,"Washington","DC"
18,"BoyShe",19,9,3.61524916553554,"Boise","ID"
19,"Polar Bears",14,6,3.41918086634721,"Berkeley","CA"
20,"Birdfruit",17,4,3.25251641595776,"Seattle","WA"
21,"XIST",21,4,3.03098601958075,"New York","NY"
22,"Public Enemy",7,8,2.90171630222358,"Dallas/Fort Worth","TX"
23,"UPA",13,6,2.61165090450668,"Chicago","IL"
24,"Alloy",6,7,2.59633831036985,"Pittsburgh","PA"
25,"Bozos",13,8,2.40252177083511,"Bozeman","MT"
26,"Snake Country Bromance",5,1,2.13036910502571,"SOMERVILLE","MA"
27,"Distelfink",18,4,1.98434279070949,"Lancaster","PA"
28,"BW Ultimate",17,12,1.97177151143435,"Sunnyvale","CA"
29,"Columbus Cocktails",24,4,1.9227032021312,"Columbus","OH"
30,"Charlotte Storm",18,6,1.77708928458742,"Charlotte","NC"
31,"Minnesota Star Power",22,4,1.70960743046223,"Minneapolis/ St. Paul","MN"
32,"G-Unit",3,9,1.56622994988855,"Gainesville","FL"
33,"Bang!",13,8,1.564257357968,"West Chester","PA"
34,"Battleship",13,8,1.54626599863206,"St-Jean-sur-Richelieu","Quebec"
35,"No Touching!",4,8,1.52898323949611,"Twin Cities","MN"
36,"Cosa Nostra",12,9,1.52206602942287,"Austin","TX"
37,"Classy",15,7,1.51386751459435,"San Francisco","CA"
38,"SHINSHU LOOSE-Upper",2,5,1.42919403940953,"Matsumoto","Nagano"
39,"UNION",9,8,1.35402018959916,"Toronto","Ontario"
40,"Pegasus",10,9,1.27762052215107,"Seattle","WA"
41,"Bucket",11,2,1.25966807604641,"Atlanta","GA"
42,"Happy Hour",11,2,1.23295291502937,"McMinnville","OR"
43,"Donuts",15,7,1.18495303077142,"Bay Area","CA"
44,"Dub Club",15,8,1.17464827984877,"West Chester","PA"
45,"Freakshow",2,0,1.16666666666667,"Newark","DE"
