"Rank","Team","Wins","Losses","Rating","City","State"
1,"Seattle Riot",23,4,18.4891907060388,"Seattle","WA"
2,"Brute Squad",16,3,15.3775226049386,"Boston","MA"
3,"Molly Brown",15,4,13.3997284084244,"Denver/Boulder","CO"
4,"Fury",13,6,9.93825079412195,"San Francisco","CA"
5,"Scandal",19,7,5.88841555089081,"Washington","DC"
6,"Club Deportivo Revolution",5,2,5.67127604694755,"Medellin","Colombia"
7,"Underground",20,11,2.22750448624935,"Seattle","WA"
8,"MUD",2,5,2.19361282780749,"Edogawa-ku","Tokyo"
9,"Heist",12,13,1.97319725336774,"Madison","WI"
10,"Nightlock",12,15,1.89521927867263,"Bay Area","CA"
11,"Traffic",5,8,1.82396475899598,"Vancouver","BC"
12,"Showdown",9,11,1.65516698648736,"Texas City","TX"
13,"Pop",19,7,1.38145598948117,"Minneapolis","MN"
14,"WOLP",1,0,1.33333333333333,"Northampton","MA"
15,"Ozone",10,8,1.29543186755201,"Atlanta","GA"
16,"Schwa",10,10,1.21505918624362,"Portland","OR"
17,"Nemesis",19,6,0.945241387072453,"Chicago","IL"
18,"Rival",11,7,0.787711884611588,"Columbus/Ann Arbor","OH"
19,"Siege",19,6,0.672535155596824,"Boston","MA"
20,"PLOW",0,1,0.666666666666667,"Northampton","MA"
21,"6ixers",13,3,0.660131378791275,"Toronto","Ontario"
22,"LOL",10,4,0.562176143457052,"Oakland","CA"
23,"Wildfire",8,11,0.414019348614556,"San Diego","CA"
24,"BENT",8,12,0.387750912807689,"New York","NY"
25,"Phoenix",13,5,0.374436354589378,"Durham","NC"
26,"Iceni",0,7,0.330907935173536,"London","SW4 8QW"
27,"Sneaky House Hippos",6,7,0.219208310822476,"Vancouver","British Columbia"
28,"Hot Metal",16,10,0.169119920355348,"Pittsburgh","PA"
29,"Elevate",16,5,0.134805068018765,"Salt Lake City","UT"
30,"Iris",10,3,0.129098236652492,"Québec","Quebec"
31,"uno",2,5,0.110302645058746,"Toyota","Aichi"
32,"Green",17,1,0.0938228442112568,"Philadelphia","PA"
33,"FAB",15,5,0.0915948898591672,"Bay Area","CA"
34,"Grit",14,10,0.0865256888210878,"Washington","DC"
