"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Johnny Walker",5,0,"Grand Masters","Men","Denver/Boulder","CO","/teams/events/Eventteam/?TeamId=tk5KKvlKrHZSc0tlRIeW%2flmk6BM9MgrJqaXjUzaKVyc%3d",12,5
"2","No Country",5,0,"Grand Masters","Men","Brattleboro","VT","/teams/events/Eventteam/?TeamId=1HGhhL72ly693JeA89Tzbp4vZPKQfZWAhp2kk3Y9vuA%3d",16,4.52916002734614
"3","Kalakala",3,0,"Grand Masters","Men","Seattle","WA","/teams/events/Eventteam/?TeamId=MsQbTUGmGRAwO%2b8hXZSjTDfSTDv7CCA2zppjghI%2bPBs%3d",13,2.33333333333334
"4","Reckon",5,0,"Grand Masters","Men","GA/TN/FL/AL","GA","/teams/events/Eventteam/?TeamId=1jQ1ovn%2f9R7FXC8nGIT%2fXE8AXw5RxOxwHvGwxCHh8RE%3d",17,2.23849872619828
"5","DinoSlam",1,1,"Grand Masters","Men","Portland","OR","/teams/events/Eventteam/?TeamId=q5ls10gyoVvpEkvXpfIX7gHzjFJHJFgNDkV9ZtZhbjc%3d",6,1.11111111111112
"6","Critical Mass",3,2,"Grand Masters","Men","Northampton","MA","/teams/events/Eventteam/?TeamId=Vf4P5xn3%2fgeQ23prO8TFtvzTEczzyOTpICmTY5Xtpfs%3d",5,0.855241132907609
"7","Hootenanny",4,3,"Grand Masters","Men","Raleigh","NC","/teams/events/Eventteam/?TeamId=KE6vdD1XwG4SBlsAXgWX3PYIoFsOzJePPIpQMzt%2f7lU%3d",11,0.576438548935004
"8","Endless Sunset",0,1,"Grand Masters","Men","San Diego","CA","/teams/events/Eventteam/?TeamId=A2vXvi7Tuujmh00ZNUNriU7E7smpwiyABUcjiUKmjq0%3d",7,0.555555555555557
"9","Moscow State",2,3,"Grand Masters","Men","New York","NY","/teams/events/Eventteam/?TeamId=oAo9LgEtfWDBFJNG2rOvtTGjphXl0NT0%2bTSHmLFIdtc%3d",15,0.427772582296838
"10","GrandMaster Flash",2,4,"Grand Masters","Men","Orlando","FL","/teams/events/Eventteam/?TeamId=g1gMfl3PjonnAorsAc3j9Vfk6dAl%2fxYVfXpbZO9J8I8%3d",9,0.13431819548468
"11","Goatswitcher",1,4,"Grand Masters","Men","Montgomery","AL","/teams/events/Eventteam/?TeamId=qtn2icN2hXc6rVboD47pxRlmWvpvZ%2ftWmCjyOET5noQ%3d",8,0.0987476320067991
"12","Rust",2,4,"Grand Masters","Men","Birmingham","AL","/teams/events/Eventteam/?TeamId=kQdg2E%2bxdLCaV7CWu3YOoLZYDIc7wA3I6DKgrzj8bvw%3d",18,0.0841245499373408
"13","Brooklyn",0,4,"Grand Masters","Men","Brooklyn, USA","NY","/teams/events/Eventteam/?TeamId=Q0DWRH8bHeCTjfe7n1%2bqBvmEJlydiw0EGX8w0FJpbtA%3d",4,0.0556986048875484
"14","Bighorn",3,2,"Grand Masters","Men","Boulder","CO","/teams/events/Eventteam/?TeamId=yqh%2fL3WXWAUUOA8TspHrxN1Ks%2fn%2fIv8nlQXYy8%2bJUVI%3d",2,4.37224714325513e-193
"15","Sick Hammers",2,3,"Grand Masters","Men","Austin","TX","/teams/events/Eventteam/?TeamId=DuBxPHwwjHxpOqZ0e0sJK30yRt2fAzcZ63XleRJzk0Q%3d",19,1.14204789611739e-193
"16","Big D N R",0,4,"Grand Masters","Men","Dallas","TX","/teams/events/Eventteam/?TeamId=SGm6cHjjybsuJR3bcfB9lF6o4XVXmB2AEmyslMMCEwQ%3d",1,0
"17","Borderline",0,1,"Grand Masters","Men","Maritimes","Nova Scotia","/teams/events/Eventteam/?TeamId=eTAhTKFzzbyGoHKtWTf187qlm7aC2QuVk5%2bhT04Ln%2fY%3d",3,0
"18","Grandmasters of the Universe",0,0,"Grand Masters","Men","Winnipeg","Manitoba","/teams/events/Eventteam/?TeamId=PjOza%2fb8SKx5xJzYiSZ2KNpH%2bSDdGJzyWJ4P%2bXemVCA%3d",10,0
"19","Legion",0,2,"Grand Masters","Men","Vancouver","British Columbia","/teams/events/Eventteam/?TeamId=qVdsMNm0TJKxUQXN0dwOo4MaEbsbtOudxzmzPKqBD8w%3d",14,0
