"Rank","Team","Wins","Losses","Rating","City","State"
1,"Surly",6,0,0.429931475268805,"Minneapolis","MN"
2,"Johnny Walker",15,2,0.426751176709402,"Denver/Boulder","CO"
3,"No Country",15,2,0.175942683627373,"Brattleboro","VT"
4,"Shadows",9,2,0.140673073902586,"Oakland","CA"
5,"Endless Sunset",10,8,0.114448233844287,"San Diego","CA"
6,"Reckon",9,3,0.0665615026295844,"GA/TN/etc","GA"
7,"ShutDown",5,2,0.0385947224543652,"Washington","DC"
8,"Kalakala",9,7,0.0334409424802214,"Seattle","WA"
9,"Hootenanny",11,9,0.0314078298607337,"Raleigh","NC"
10,"Old Man Winter",7,4,0.0244953541120331,"chicago","IL"
11,"Bighorn",7,5,0.0197594582286718,"Boulder","CO"
12,"projectile dysfunction team HELM",6,5,0.0166609556955901,"columbus","OH"
13,"Critical Mass",3,8,0.00648084113526451,"Northampton","MA"
14,"GrandMaster Flash",8,13,0.00494409063553432,"Orlando","FL"
15,"Sick Hammers",3,7,0.00344538456826701,"Austin","TX"
16,"DinoSlam",1,1,0.00298707714666636,"Portland","OR"
17,"Moscow State",2,3,0.00274097250539455,"New York","NY"
18,"Age Against the Machine",2,3,0.00252508861207067,"Cincinnati","OH"
19,"Borderline",4,4,0.00234199902647421,"Maritimes","Nova Scotia"
20,"Rust",2,4,0.00132270889417135,"Birmingham","AL"
21,"Goatswitcher",0,5,0.0012330187354871,"Montgomery","AL"
22,"Old Growth (OG)",2,10,0.000650069577046686,"Silicon Valley","CA"
23,"Brooklyn",0,4,0.000262633599318599,"Brooklyn, USA","NY"
24,"Grandmasters of the Universe",1,5,3.85895417565295e-06,"Winnipeg","Manitoba"
25,"Big D N R",0,4,0,"Dallas","TX"
25,"Cal Grand Masters",0,5,0,"San Diego","CA"
25,"Legion",0,2,0,"Vancouver","British Columbia"
25,"Rust Belt",0,4,0,"Greater Detroit","MI"
