"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Johnny Encore",5,0,"Masters","Men","Denver","CO","/teams/events/Eventteam/?TeamId=gUDLkhZQuvONuprlCCNaPFd43Sr%2bDC5HqUZK5K64hHs%3d",12,5
"2","Surly",6,0,"Masters","Men","MINNEAPOLIS","MN","/teams/events/Eventteam/?TeamId=bROFn4pqILDEfzIGbfGf8dQhMaS8GJ8YtIZTa%2fLAz4Y%3d",18,4.99999999999998
"3","Voltron 2020",1,0,"Masters","Men","Seattle","WA","/teams/events/Eventteam/?TeamId=V6baMD%2beouNeYEAnjaJHyTbfY3MMTF0fr3typp%2fyPKU%3d",20,3.99999999989731
"4","Black Cans & Highlands",2,0,"Masters","Men","Washington","DC","/teams/events/Eventteam/?TeamId=F9P%2bjqPd4hVDXSc5lKWHH8h8NIyoRctzkxpoDwT9WV0%3d",3,2.66666666666667
"5","All Bashed Out",2,0,"Masters","Men","Albany ""Cap City Bang Bang""","NY","/teams/events/Eventteam/?TeamId=XYSBrIRok5s83e%2bEHmvIEQ5%2fNDjOhPb165hwRtid5w4%3d",2,2.06493506493506
"6","Boneyard",1,0,"Masters","Men","Raleigh-Durham","NC","/teams/events/Eventteam/?TeamId=iAvRWii%2b74ltkqtHb8kdUMbYAwxtpQrv2GBSTj12mW8%3d",4,2
"7","Rest Stop",1,1,"Masters","Men","Baltimore","MD","/teams/events/Eventteam/?TeamId=MlA6AZTSPLEW5hdeCOxjffgNgdG%2foNWUvoI9Ndbb5Yk%3d",15,1.33333333333333
"8","Horse",1,1,"Masters","Men","New York","NY","/teams/events/Eventteam/?TeamId=NJUAFgQM%2bdMZrgOPSwy7R57TREyKAwQ6i4spUCmUKos%3d",10,0.74025974025974
"9","Get Off My Lawn",0,2,"Masters","Men","Burlington","VT","/teams/events/Eventteam/?TeamId=QQWjGopJLgite6IHZeSVVBTAGxm067jS%2fpvA3dVaphg%3d",8,0.194805194805195
"10","(burnside) TIPP CITY",1,0,"Masters","Men","Portland","OR","/teams/events/Eventteam/?TeamId=Lk20C1S2Vhv8jVG69CY1pXJlbdFSG3im%2fpAKOJFvd%2bU%3d",1,8.65649947695971e-11
"11","s.u.r.l.y. BURNSIDE",0,2,"Masters","Men","Gresham","OR","/teams/events/Eventteam/?TeamId=YJtOi8yu1gk%2fscUiS4lj%2fv4zbS6Tg%2femuXrQKTtbOL8%3d",17,1.13098821695668e-11
"12","Gravy Train Wreck",1,1,"Masters","Men","Seattle","WA","/teams/events/Eventteam/?TeamId=y5cF30m%2b8nXV9JWPEz4Xj69CmpGmB0ykAbXzfTwXDCc%3d",9,4.81647206671756e-12
"13","Royal Stag",3,3,"Masters","Men","Madison","WI","/teams/events/Eventteam/?TeamId=oFKUYMUthNFdSstAQWdROuWEWGTHp3OBHyTxmOiqE7Q%3d",16,1.37068305595682e-119
"14","Surly Cynic",4,3,"Masters","Men","Minneapolis","MN","/teams/events/Eventteam/?TeamId=G1jPq5tbdoOP982hhQL%2btGk60HEKsnIxWib4CloN4iM%3d",19,1.31776999242092e-119
"15","Winnipeg",2,4,"Masters","Men","Winnipeg","Manitoba","/teams/events/Eventteam/?TeamId=cEbPTb5trHvkNcgMQ8crVhDSe6wXm2Kp%2bMfl%2fMdVuec%3d",21,4.74515347375268e-120
"16","Xtra Surly",0,5,"Masters","Men","Minneapolis","MN","/teams/events/Eventteam/?TeamId=9fHWCYvmyzukmUtvWEff5eVxEHrFuPqx9i0ZVtBowlc%3d",23,1.15886694729336e-120
"17","Geronimo",4,2,"Masters","Men","Dallas/Fort Worth","TX","/teams/events/Eventteam/?TeamId=sI6j8fRhY7OI6A%2fewRtWA%2fUXK%2fXvtnGDgkODnLnIdxk%3d",7,6.40277197865643e-176
"18","Outlaw",3,3,"Masters","Men","Fayetteville","AR","/teams/events/Eventteam/?TeamId=nQxth9nWWrHl3Zw4l6DqAEikVous7%2b2jrUOthyoULqE%3d",14,4.66631809251609e-301
"19","HOV Violators",1,1,"Masters","Men","Arlington","VA","/teams/events/Eventteam/?TeamId=d65bYnhIHdAaf9O1M%2fRf26wNkrJOdiJBtb5hAw8ZzHM%3d",11,1.39989542775483e-301
"20","Clippers",0,2,"Masters","Men","Baltimore","MD","/teams/events/Eventteam/?TeamId=KE9NNqP3j%2f0Tvj5qyNMOdIqBGoPUGHSfrz94AxzX91k%3d",5,4.6663180925161e-302
"21","curmudgeon",2,4,"Masters","Men","Houston","TX","/teams/events/Eventteam/?TeamId=q2uABCjPKwgoPbjELPNIQ3z1OarxY4EGIpX%2b6YEy4Yc%3d",6,0
"22","Mr Miyagi",0,5,"Masters","Men","Arlington","TX","/teams/events/Eventteam/?TeamId=Wzxt%2fKlkDFlmDmFGhcL8nYggONEsz%2bNK4z7mWDQpzNk%3d",13,0
"23","Woolly Mammoth",0,1,"Masters","Men","Gainesville","FL","/teams/events/Eventteam/?TeamId=PR9%2fJXRPIOKvYaLZO%2b3DpZnhB9dGVC%2fCPQI9oICKHB4%3d",22,0
