"Rank","Team","Wins","Losses","Rating","City","State"
1,"Johnny Encore",14,2,0.335957159868848,"Denver","CO"
2,"Rest Stop",6,2,0.0973021429867088,"Baltimore","MD"
3,"Voltron 2020",6,2,0.0945981787206661,"Seattle","WA"
4,"Boneyard",6,1,0.0918860048431085,"Raleigh-Durham","NC"
5,"Black Cans & Highlands",5,4,0.0582684429772102,"Washington","DC"
6,"All Bashed Out",6,3,0.0425051547656996,"Albany ""Cap City Bang Bang""","NY"
7,"Surly",11,2,0.0406388353521538,"MINNEAPOLIS","MN"
8,"Crawl",6,3,0.00977373141109112,"Phoenix","AZ"
9,"Horse",1,1,0.00338600774083565,"New York","NY"
10,"Pacemaker",9,3,0.00136329153692258,"Chicago","IL"
11,"Get Off My Lawn",0,2,0.000891034093732718,"Burlington","VT"
12,"Beyondors",1,1,0.000608115814220855,"Santa Barbara","CA"
13,"Surly Cynic",9,6,0.000213864405751493,"Minneapolis","MN"
14,"Naptown",6,6,0.00012643760815221,"Indianapolis","IN"
15,"Young OG's",0,2,8.68718133181726e-05,"San Diego","CA"
16,"Geronimo",7,6,6.49530063308232e-05,"Dallas/Fort Worth","TX"
17,"Royal Stag",5,8,3.29200557174787e-05,"Madison","WI"
18,"Winnipeg",4,4,1.82140855823264e-05,"Winnipeg","Manitoba"
19,"Outlaw",4,9,1.08286111624126e-05,"Fayetteville","AR"
20,"Polar Vortex",2,9,8.97804844098097e-06,"Chicago","IL"
21,"Xtra Surly",0,6,6.99572581608283e-06,"Minneapolis","MN"
22,"(burnside) TIPP CITY",2,5,2.44385739172572e-06,"Portland","OR"
23,"FoG",0,5,3.70986525011705e-07,"Cincinnati","OH"
24,"s.u.r.l.y. BURNSIDE",0,2,4.37999966466391e-08,"Gresham","OR"
25,"Gravy Train Wreck",1,1,1.80348322563814e-08,"Seattle","WA"
26,"HOV Violators",1,1,1.39989542775483e-301,"Arlington","VA"
27,"Clippers",0,2,4.6663180925161e-302,"Baltimore","MD"
28,"curmudgeon",2,4,0,"Houston","TX"
28,"Mr Miyagi",0,5,0,"Arlington","TX"
28,"Woolly Mammoth",0,1,0,"Gainesville","FL"
