"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Trickle Down",2,0,"Masters","Mixed","Portland","OR","/teams/events/Eventteam/?TeamId=E9E0Xbjh3dbZKoQ74hdxKTf%2fShMAFheHvwzbsj4QVDs%3d",15,3
"2","Hey Babe",2,0,"Masters","Mixed","Minneapolis","MN","/teams/events/Eventteam/?TeamId=6rY4KrtKAP9MleHOPuafH%2famQnluW%2fhAApQNV7jchf8%3d",5,3
"3","512",1,0,"Masters","Mixed","Austin","TX","/teams/events/Eventteam/?TeamId=2R3Rj3BxgAGDzAy7UAiBNFJidlBEJkD%2bgVx7IWoQ6KI%3d",1,2
"4","Molasses Disaster",2,0,"Masters","Mixed","Boston","MA","/teams/events/Eventteam/?TeamId=jkhasWi7nJkRGyZFRPfifh1xSyI2LvDE1JTldJJAjos%3d",8,2
"5","Swamp Rats",1,0,"Masters","Mixed","The Great Dismal Swamp","NC","/teams/events/Eventteam/?TeamId=N6Y7TvDHyAGLSQ2u3BsYTuueYQX1%2b2F4oLnsBZ2Rsmo%3d",13,2
"6","Prime",2,0,"Masters","Mixed","Greenville","SC","/teams/events/Eventteam/?TeamId=7XjXQxuWXcD3YHKILI6TEhKY0g7TuhtzHkYPrwyuXHU%3d",12,1.75
"7","Trainwreck",1,1,"Masters","Mixed","Durham","NC","/teams/events/Eventteam/?TeamId=TNOki0nrJUY7S%2fZ%2fKbxL8O619Cwl82DfoAM%2bZqlSDMs%3d",14,1.25
"8","Old Parts and Pandas",1,1,"Masters","Mixed","Seattle","WA","/teams/events/Eventteam/?TeamId=7G0lqNgBqiZzsoqYwtC3yd0UYExgudcX1%2fOLf6QLfd0%3d",10,1.86652723700644e-301
"9","Old Fashioned",1,1,"Masters","Mixed","Madison","WI","/teams/events/Eventteam/?TeamId=t7Pa08KkSxGnEU6PfDb2SYz9bnYm3bz%2bK8OJeerrqkQ%3d",9,1.08880755492042e-301
"10","Millennial Falcons",0,2,"Masters","Mixed","Saint Louis","MO","/teams/events/Eventteam/?TeamId=%2frTOGIHFX%2bjnSjKxWxuaDX2hiUr4ucqh161Ps55TiAA%3d",7,7.77719682086016e-302
"11","Charge!",0,1,"Masters","Mixed","Washington","DC","/teams/events/Eventteam/?TeamId=ligoaC%2bZV%2fBQLfvc2qeWtFL2IdGLUUg3%2bJl6bJQPRsY%3d",2,0
"12","Drunken Masters",0,2,"Masters","Mixed","Somerville","MA","/teams/events/Eventteam/?TeamId=ohu%2bnkmezG95cVlSS7RydkvbIS%2bbsROranrUGLZhwRw%3d",3,0
"13","Fossil",0,2,"Masters","Mixed","Tampa","FL","/teams/events/Eventteam/?TeamId=H0EIZzxtWX0WU4jmHNlC%2b46Cvc3zvoJZ%2fy%2bqv%2boUsCs%3d",4,0
"14","Mastadon",0,2,"Masters","Mixed","Vancouver","British Columbia","/teams/events/Eventteam/?TeamId=L9QSPavX2cllgFLDCVV3UjskTRW3R1THAiPL0WXcRms%3d",6,0
"15","Oso Busco",0,1,"Masters","Mixed","Denver","CO","/teams/events/Eventteam/?TeamId=9DRIa9P5lNbdyO0re9WpUx7w59MLXgtgsldcuwAmsN0%3d",11,0
