"Rank","Team","Wins","Losses","Rating","City","State"
1,"Swamp Rats",6,0,5.4892982674803,"The Great Dismal Swamp","NC"
2,"UPAARP",6,2,4.55367270235115,"Chicago","IL"
3,"512",8,1,4.39832979557451,"Austin","TX"
4,"Members Only",7,3,2.44455893704127,"SoCal","CA"
5,"Molasses Disaster",8,2,2.11103192582811,"Boston","MA"
6,"Hey Babe",7,3,1.95983118528543,"Minneapolis","MN"
7,"San Francisco Bridge Club",6,4,1.85264705706583,"San Francisco","CA"
8,"Trickle Down",5,5,0.79175936011651,"Portland","OR"
9,"Old Parts and Pandas",3,7,0.528803647169295,"Seattle","WA"
10,"Prime",5,4,0.243194537078765,"Greenville","SC"
11,"Charge!",2,4,0.106293442440656,"Washington","DC"
12,"Old Fashioned",3,6,0.0581834517178048,"Madison","WI"
13,"Third Party",4,6,0.0240327633179665,"Washington","DC"
14,"Trainwreck",1,8,0.0204583358237483,"Durham","NC"
15,"Old DErty People",1,2,0.0100937605935459,"Wilmington","DE"
16,"Millennial Falcons",0,2,0.00340254103612893,"Saint Louis","MO"
17,"Drunken Masters",0,2,0,"Somerville","MA"
17,"Fossil",0,2,0,"Tampa","FL"
17,"Mastadon",0,2,0,"Vancouver","British Columbia"
17,"Oso Busco",0,1,0,"Denver","CO"
17,"Sacramentos-Freshmakers",0,2,0,"Sacramento","CA"
