"Rank","Team","Wins","Losses","Rating","City","State"
1,"Surly C.O.U.G.A.R.S.",5,0,3.02673237753884,"Minneapolis","MN"
2,"iRot",2,0,3,"Seattle","WA"
2,"Ripe",2,0,3,"Raleigh","NC"
3,"Loose Cannon",3,1,2.39938080495356,"Philadelphia","PA"
4,"Lame Duck",4,0,2.05882352941177,"Washington","DC"
5,"PUMAS",3,2,0.862156511350062,"Ames","IA"
6,"ZENITH",2,2,0.541795665634675,"Baltimore","MD"
7,"G.O.S.E.",1,4,0.0682497013142176,"Minneapolis","MN"
8,"Winnipeg Mint",1,4,0.0428614097968938,"Winnipeg","Manitoba"
9,"Seattle Mint",1,1,1.86652723700644e-301,"Seattle","WA"
10,"Atlantiques",1,1,1.08880755492042e-301,"Atlanta","GA"
11,"Restless",0,2,7.77719682086016e-302,"Florida","FL"
12,"DC MadDames",1,3,0,"Washington","DC"
12,"First Ladies",0,4,0,"Washington","DC"
12,"Portland Ho Bags",0,2,0,"Portland","OR"
