"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"1","North Carolina (Darkside)","College","Men","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=qzY9sRCUpcpG8KvSvW3kcj5HuRkpEOKZSUmLrNKr2Dk%3d",1,"North Carolina",2242,"Division I","Atlantic Coast","Carolina DI",35,2,295,47.5676733398991
"2","Carleton College (Carleton College (CUT))","College","Men","Northfield","MN","/teams/events/Eventteam/?TeamId=%2f0uH3RR705UbqD%2fiWSrN%2b8xbeCKEUl1cKUhmCyGR7GA%3d",2,"Carleton College",2179,"Division I","North Central","Northwoods DI",33,2,76,46.5080647936664
"3","Oregon (Ego)","College","Men","Eugene","OR","/teams/events/Eventteam/?TeamId=Efii5LiE0mzUlbH4GqN4dSzKdu1FjdBkNhxmt%2fOZQeY%3d",3,"Oregon",2086,"Division I","Northwest","Cascadia DI",30,3,330,24.5399719248396
"4","Washington (Sundodgers)","College","Men","Seattle","WA","/teams/events/Eventteam/?TeamId=jvS2Z14a0Pdkj7ruwKn%2bRX5piBK4Wc7KI4aaiv8Tiz4%3d",5,"Washington",1951,"Division I","Northwest","Cascadia DI",34,7,474,20.1136897080931
"5","Minnesota (Grey Duck)","College","Men","Minneapolis","MN","/teams/events/Eventteam/?TeamId=ltskWf8Qfjy6MkoL8B3dzl8IKFhH7ygByshxFRhQWSo%3d",4,"Minnesota",1965,"Division I","North Central","Northwoods DI",28,10,270,11.6171603007007
"6","Pittsburgh (En Sabah Nur)","College","Men","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=DRGRDlRhzuRqdVY1ohaHDx9%2fz%2fRlt%2fwNNqZEUWy%2bNzQ%3d",7,"Pittsburgh",1922,"Division I","Ohio Valley","West Penn DI",24,8,341,10.6438932528596
"7","North Carolina-Wilmington (Seamen)","College","Men","Wilmington","NC","/teams/events/Eventteam/?TeamId=YrZkUXiiYjJBSF4CFR410%2b%2bkk68nNd5xXlXFOsCsMn8%3d",17,"North Carolina-Wilmington",1765,"Division I","Atlantic Coast","Carolina DI",30,10,294,10.2861071319323
"8","Brown (Brownian Motion)","College","Men","Providence","RI","/teams/events/Eventteam/?TeamId=QJrpDSZOZzT3TBJsqmHz3wVzKN9uSmCKaMYMWgnUzGQ%3d",6,"Brown",1944,"Division I","New England","South New England DI",17,8,49,9.96837904565261
"9","Cal Poly-SLO (SLOCORE)","College","Men","San Luis Obispo","CA","/teams/events/Eventteam/?TeamId=pCoRTWybFBF18h8wiZxXJRs%2fpkk9Zvu%2fcDsHcpf15I0%3d",21,"Cal Poly-SLO",1719,"Division I","Southwest","SoCal DI",27,15,55,8.14401829621583
"10","Georgia (Jojah)","College","Men","Athens","GA","/teams/events/Eventteam/?TeamId=x4QjNVOHJrrHeRiu7YDV2bs%2bLmrWt3xbnZ47ie6gHSA%3d",9,"Georgia",1860,"Division I","Southeast","Southern Appalachian DI",17,5,166,7.63667386269823
