"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Brute Squad",16,2,"Club","Women","Boston","MA","/teams/events/Eventteam/?TeamId=Sxpi5zVqJGEk4DHzBJdmM1Q2SDo%2b%2fGlGymP%2bwSmieMg%3d",14,16.9199063677759
"2","Seattle Riot",22,4,"Club","Women","Seattle","WA","/teams/events/Eventteam/?TeamId=W15t1DXc%2btTL6TaVyjrijmSgRpmOV46Kuhld3LmQefU%3d",107,13.9689757920204
"3","Woosand",6,0,"Beach","Women","Boston","MA","/teams/events/Eventteam/?TeamId=pw82nmSpvqvN7Pz07k3MNkfcIRokqHfJ9U4zb7soo%2bc%3d",146,13.7688135581315
"4","Molly Brown",15,4,"Club","Women","Denver/Boulder","CO","/teams/events/Eventteam/?TeamId=Bf3z2v0awy9RJ4JFuuZCeAoTTO27o2Di8KoNazLDeVY%3d",65,13.0443809406544
"5","Fury",13,6,"Club","Women","San Francisco","CA","/teams/events/Eventteam/?TeamId=t8LIQi81cNpXfjcuLGw%2bI1rQCEv9mukQpvCtyYmPdv0%3d",35,9.32328669020683
"6","The Otter Team",7,0,"Beach","Women","San Fransicso","CA","/teams/events/Eventteam/?TeamId=5m%2fZ8%2bH2xEKOpGlxMtssh0JF%2feKz87CYFKi5wiRJQt8%3d",130,9.10542780446795
"7","Surly C.O.U.G.A.R.S.",11,0,"Masters","Women","Minneapolis","MN","/teams/events/Eventteam/?TeamId=dAipsMCNq4T%2fQvj1zP4hFYLQLVW51VXrVBstLQGpSG4%3d",123,8.46375335718137
"8","Scandal",19,7,"Club","Women","Washington","DC","/teams/events/Eventteam/?TeamId=kUfEboVoZOC0HIKfwGFApaHPHcO3hGkG3n4iHHF6eTs%3d",101,5.61397360753528
"9","Club Deportivo Revolution",5,2,"Club","Women","Medellin","Colombia","/teams/events/Eventteam/?TeamId=t08fEffRI4ac%2bOChcXuXtowfvIL3nhgH%2f%2fDMLsI6fNw%3d",16,5.5419169472091
"10","Ronrunner",4,1,"Beach","Women","Chicago","IL","/teams/events/Eventteam/?TeamId=6tLwkRgwaV%2fCuqA5tBDXxuX6XyGUfIgZSHvaI2bxgDo%3d",96,4.30038566441393
"11","iRot",7,2,"Masters","Women","Seattle","WA","/teams/events/Eventteam/?TeamId=sp6R6C6rs%2byNsnJFhQHnLaT198MJimcoQlSG8RdCt%2fQ%3d",55,3.17265017741989
"12","Ripe",7,1,"Masters","Women","Raleigh","NC","/teams/events/Eventteam/?TeamId=zEZsqTjJSxOh%2fu1GsXf8sPrluOP6HcmKZzZu6HAOhd4%3d",91,2.88705424936561
