"Rank","Team","Wins","Losses","Rating","City","State"
1,"Revolver",25,3,35.601583473593,"San Francisco","CA"
2,"Sockeye",23,10,21.6278367105454,"Seattle","WA"
3,"Ring of Fire",27,4,19.9414107717708,"Raleigh","NC"
4,"Ironside",26,9,17.7663932876068,"Boston","MA"
5,"Truck Stop",24,6,15.858711672927,"Washington","DC"
6,"Dig",27,7,15.1301401395634,"Boston","MA"
7,"Florida United",22,4,12.3308331948174,"Florida","FL"
8,"HIGH FIVE",21,11,12.1214467126645,"Ohio","MI"
9,"Chicago Machine",16,14,10.3568575845503,"Chicago","IL"
10,"Johnny Bravo",20,10,10.1289507743333,"Denver","CO"
11,"PoNY",19,13,9.58485077610648,"New York","NY"
12,"GOAT",21,11,9.41396802785606,"Toronto","Ontario"
13,"Doublewide",17,7,8.30513592569413,"Austin","TX"
14,"Sub Zero",19,14,6.58657799601503,"Minneapolis","MN"
15,"Patrol",16,16,6.08812036610188,"Philadelphia","PA"
16,"SoCal Condors",17,13,6.04481811862081,"Calico","CA"
17,"Medicine Men",27,13,4.89528797476776,"Baltimore","MD"
18,"Chain Lightning",19,12,4.58888827801657,"Atlanta","GA"
19,"Guerrilla",18,15,4.49796185874215,"Oakland","CA"
20,"Rhino",17,11,3.94084686420816,"Portland","OR"
21,"Pittsburgh Temper",16,10,3.6157556957725,"Pittsburgh","PA"
22,"Freaks",28,6,3.21502191210343,"Huntsville","AL"
23,"Inception",20,9,3.18056108046714,"Denver","CO"
24,"Madison Club",13,13,2.68765577449429,"Madison","WI"
25,"Furious George",12,13,2.6107742330896,"Vancouver","BC"
26,"Richmond Floodwall",24,9,2.30150758171775,"Richmond","VA"
27,"Dark Star",22,5,2.0647866576803,"Eugene","OR"
28,"Mad Men",28,8,2.03536981336877,"Madison","WI"
29,"Voodoo",20,5,1.97611417432514,"Seattle","WA"
30,"Cash Crop",17,7,1.96729427201811,"Triangle","NC"
31,"CLE Smokestack",21,12,1.917370588628,"Cleveland","OH"
32,"Garden State Ultimate",28,10,1.82882429034998,"Princeton","NJ"
33,"Brickyard",28,6,1.65844810585379,"Indianapolis","IN"
34,"PowderHogs",13,10,1.58110389942963,"Salt Lake City","UT"
35,"Turbine",20,13,1.42293474901991,"Durham","NC"
36,"Prairie Fire",11,16,1.33273302904241,"Kansas City","KS"
37,"Sprawl",21,5,1.26241202417322,"Phoenix","AZ"
38,"Ironmen",22,13,1.15847342032516,"Birmingham","AL"
39,"Illusion",27,8,1.11500320475719,"Iowa City","IA"
40,"Lost Boys",19,12,1.08428055896719,"South Carolina","SC"
41,"Ghost Train",14,17,1.07904212113083,"Seattle","WA"
42,"Black Market",29,11,1.03053755621189,"Lombard","IL"
43,"Colt",24,7,0.911650607557281,"Southington","CT"
44,"Mockingbird",12,3,0.911307992122625,"Montréal","QC"
45,"Dreadnought",13,9,0.821130830084685,"Fayetteville","AR"
46,"Pesterbug",19,13,0.809450157966912,"Pawtucket","RI"
47,"Singlewide",18,3,0.803266026824862,"Austin","TX"
48,"Clapham Ultimate",2,5,0.783158127335778,"London","UK"
49,"CUS Bologna",1,6,0.76254652721459,"Bologna","Emilia Romagna"
50,"Big Wrench",14,20,0.734764259960045,"Somerville","MA"
51,"CITYWIDE Special",17,11,0.685720148014226,"Philadelphia","PA"
52,"Streetgang",17,10,0.672932611020619,"San Diego","CA"
53,"John Doe",13,12,0.671064039564898,"Washington","DC"
54,"Blueprint",24,14,0.64768627002693,"NYC","NY"
55,"Republic",12,14,0.640979048417701,"Los Angeles","CA"
56,"MKE",26,10,0.623515007895197,"Milwaukee","WI"
57,"Beachfront Property",21,21,0.604659282243823,"Chicago","IL"
58,"General Strike",13,8,0.604287001542175,"Winnipeg","Manitoba"
59,"Bullet",15,20,0.585608156287531,"Atlanta","GA"
60,"Sawtooth",15,11,0.538687930148657,"Boise","ID"
61,"Dallas United: Desperados",13,11,0.526454814734959,"Dallas","TX"
62,"Blade",5,15,0.523015271331741,"Nashville","TN"
63,"Haymaker",20,15,0.503643686908978,"Chicago","IL"
64,"Sundowners",15,10,0.472007496557802,"Santa Barbara","CA"
65,"Kentucky Flying Circus",26,14,0.447107607156891,"Louisville","KY"
66,"Oakgrove Boys",15,11,0.444247678298624,"ARLINGTON","VA"
67,"Green River Swordfish",13,12,0.43302208015723,"Davis","CA"
68,"Rip City Ultimate",13,19,0.43008359493974,"Portland","OR"
69,"Rougaroux",14,12,0.421690905422552,"Baton Rouge/New Orleans","LA"
70,"Choice City Hops",13,10,0.42141763920356,"Fort Collins","CO"
71,"KC SmokeStack",11,19,0.421099776107989,"Kansas City","KS"
72,"Plex",14,12,0.419396517593461,"Dallas","TX"
73,"Rush Hour",17,16,0.400908515885452,"Atlanta","GA"
74,"The Killjoys",10,9,0.394109625262348,"Orem","UT"
75,"Red Circus",5,13,0.387351094068606,"Halifax","Nova Scotia"
76,"Boston Baked Beans",8,7,0.374656874870929,"Boston","MA"
77,"Enigma",18,21,0.36972959604061,"Dayton","OH"
78,"Deathsquad",18,15,0.363217844690258,"Needham","MA"
79,"Inside Rakete",0,7,0.3533743181807,"Darmstadt","Hesse"
80,"Imperial",14,15,0.351241256456809,"Saint Paul","MN"
81,"Shade",17,13,0.331292277874474,"New York","NY"
82,"Club M - Manic",13,8,0.323110864747709,"Montreal","quebec"
