"Rank","Team","Wins","Losses","Rating","City","State"
1,"Seattle Mixtape",23,3,26.5471418396452,"Seattle","WA"
2,"Slow White",31,6,22.8416733229577,"Boston","MA"
3,"AMP",20,3,18.7386982653171,"Philadelphia","PA"
4,"Wild Card",38,4,18.0622025140464,"Boston","MA"
5,"BFG",25,8,16.6041322598959,"Seattle","WA"
6,"Drag'n Thrust",21,8,12.750622159808,"Minneapolis","MN"
7,"Blackbird",23,10,8.88762020566977,"San Francisco","CA"
8,"shame.",23,7,8.27535698991501,"Fort Collins","CO"
9,"Steamboat",22,12,7.63931970847681,"Cincinnati","OH"
10,"Toro",30,5,7.37818060265909,"Durham","NC"
11,"Mischief",18,11,7.14552918071124,"San Francisco Bay Area","CA"
12,"Public Enemy",16,9,6.37666318122971,"Dallas/Fort Worth","TX"
13,"NOISE",16,13,5.98510170218756,"Madison","WI"
14,"Metro North",17,13,5.57319396855442,"Mianus","CT"
15,"Love Tractor",17,11,4.74900964788142,"Denver","CO"
16,"The Chad Larson Experience",17,14,4.61383837270635,"Ames","IA"
17,"XIST",25,7,4.53500911272569,"New York","NY"
18,"Polar Bears",19,8,3.59237250157978,"Berkeley","CA"
19,"Alloy",11,8,3.52816486871716,"Pittsburgh","PA"
20,"Ambiguous Grey",16,8,3.43939721723358,"Washington","DC"
21,"7 Figures",22,5,3.00461162279597,"Los Angeles","CA"
22,"BoyShe",25,11,2.89560960259127,"Boise","ID"
23,"Birdfruit",22,6,2.88186256200131,"Seattle","WA"
24,"UPA",18,7,2.86038871596397,"Chicago","IL"
25,"G-Unit",15,10,2.73982723406524,"Gainesville","FL"
26,"UNION",13,11,2.29368962627468,"Toronto","Ontario"
27,"Distelfink",23,6,2.16085069546203,"Lancaster","PA"
28,"Bang!",17,10,1.98312965843665,"West Chester","PA"
29,"Columbus Cocktails",29,6,1.96626823371467,"Columbus","OH"
30,"Bozos",17,10,1.93211791391812,"Bozeman","MT"
31,"Dub Club",19,11,1.92044533663148,"West Chester","PA"
32,"No Touching!",10,13,1.89490089645415,"Twin Cities","MN"
33,"Charlotte Storm",23,7,1.82246657770802,"Charlotte","NC"
34,"BW Ultimate",21,14,1.76098118702055,"Sunnyvale","CA"
35,"Snake Country Bromance",5,1,1.69012257800937,"SOMERVILLE","MA"
36,"Bucket",20,3,1.65859000963691,"Atlanta","GA"
37,"Cosa Nostra",15,13,1.65357837099979,"Austin","TX"
38,"Minnesota Star Power",27,7,1.49939519146128,"Minneapolis/ St. Paul","MN"
39,"Classy",18,10,1.26420856351995,"San Francisco","CA"
40,"Swing State",25,14,1.24164278754945,"Orlando","FL"
