"Rank","Team","Wins","Losses","Rating","City","State"
1,"Brute Squad",22,3,17.8290110001162,"Boston","MA"
2,"Molly Brown",23,4,17.6763384013852,"Denver/Boulder","CO"
3,"Seattle Riot",27,4,17.4102517990134,"Seattle","WA"
4,"Fury",18,6,10.9919739815149,"San Francisco","CA"
5,"Scandal",25,8,5.61247531704066,"Washington","DC"
6,"Club Deportivo Revolution",5,2,4.97797782569826,"Medellin","Colombia"
7,"Traffic",9,9,2.49509143813841,"Vancouver","BC"
8,"Heist",17,13,2.0118553419785,"Madison","WI"
9,"Underground",24,13,1.97657984933594,"Seattle","WA"
10,"MUD",2,5,1.91303141027967,"Edogawa-ku","Tokyo"
11,"Nightlock",16,17,1.68958628157497,"Bay Area","CA"
12,"Showdown",13,13,1.57086501188221,"Texas City","TX"
13,"Ozone",17,8,1.4724192886037,"Atlanta","GA"
14,"Schwa",13,12,1.25051308373053,"Portland","OR"
15,"Pop",24,8,1.07078697028883,"Minneapolis","MN"
16,"Rival",16,7,0.789863353744015,"Columbus/Ann Arbor","OH"
17,"Nemesis",24,7,0.769440235195731,"Chicago","IL"
18,"6ixers",19,4,0.619506497312821,"Toronto","Ontario"
19,"LOL",13,6,0.533471242817958,"Oakland","CA"
20,"Siege",23,9,0.513257301190929,"Boston","MA"
21,"BENT",14,15,0.363559550656418,"New York","NY"
22,"Phoenix",20,6,0.334554092129554,"Durham","NC"
23,"Wildfire",11,14,0.33315170378517,"San Diego","CA"
24,"Iceni",0,7,0.267095809389058,"London","SW4 8QW"
25,"Sneaky House Hippos",8,10,0.258974159442587,"Vancouver","British Columbia"
26,"Hot Metal",20,12,0.105566306416427,"Pittsburgh","PA"
27,"uno",2,5,0.0890319364634622,"Toyota","Aichi"
28,"Viva",10,18,0.0816622414852175,"Los Angeles","CA"
29,"Iris",10,3,0.0816056219332225,"Québec","Quebec"
30,"Elevate",18,8,0.0681999147317503,"Salt Lake City","UT"
31,"Grit",18,12,0.0666161377283272,"Washington","DC"
