"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Wins","Losses","Links","Rating"
"1","North Carolina","College","Men","Division I","Atlantic Coast","Carolina DI","24","4","/teams/events/Eventteam/?TeamId=vI99IYpnl7lsznHrJX7LkkugCocbEmeBuwYqfHnOJ%2f8%3d",28.2335007231252
"2","Massachusetts","College","Men","Division I","New England","South New England DI","13","2","/teams/events/Eventteam/?TeamId=xo4%2fRBC6DCwAgyGkNlrh5Jd%2fAgMMkCvzBxM6cX8V%2fRw%3d",22.4370741117042
"3","Pittsburgh","College","Men","Division I","Ohio Valley","West Penn DI","20","3","/teams/events/Eventteam/?TeamId=YJKP2Ma0SbX%2bRSPzeNdLksaAijbBqVZyFDrQB%2byY60w%3d",19.5973532965627
"4","Carleton College","College","Men","Division I","North Central","Northwoods DI","16","7","/teams/events/Eventteam/?TeamId=iEbc40ZlaSQ96hP4uLRrLTbfxO85c5QJRJqYYmD0Du4%3d",15.8502911383878
"5","Oregon","College","Men","Division I","Northwest","Cascadia DI","21","5","/teams/events/Eventteam/?TeamId=0jLwmETaV%2fD03DR0Ot%2f5Z7%2bUzrYlQ%2f3NDAR26ipknaw%3d",14.3131231587956
"6","Minnesota","College","Men","Division I","North Central","Northwoods DI","19","3","/teams/events/Eventteam/?TeamId=jGSHS2DOBZZZQyS0kuiXB8UYOqnKf60nCFGiVhspSbo%3d",13.4074669514095
"7","Wisconsin","College","Men","Division I","North Central","Lake Superior DI","14","9","/teams/events/Eventteam/?TeamId=r%2fiifMqBwegjH9eydr5Is1ImvkBwn2J%2bPyCrKK2T1%2bA%3d",10.1443004633733
"8","Colorado","College","Men","Division I","South Central","Rocky Mountain DI","16","4","/teams/events/Eventteam/?TeamId=GAT6WBHUZCfT%2fTQNIekbK4Zco%2bopLKvmonlrfnsM3Gs%3d",10.1048472077753
"9","Cal Poly-SLO","College","Men","Division I","Southwest","SoCal DI","19","10","/teams/events/Eventteam/?TeamId=upONuvObIX0TM7S2QuPFQ6%2bzUsEb4Mq3%2fxwncss5NEo%3d",8.95921324158864
"10","Brigham Young","College","Men","Division I","Northwest","Big Sky DI","18","6","/teams/events/Eventteam/?TeamId=kB9yug7FXzHWqdcGUE7djiAcTF7pFOBRrxC1ZYbxWs8%3d",7.96110539051766
"11","North Carolina-Wilmington","College","Men","Division I","Atlantic Coast","Carolina DI","12","4","/teams/events/Eventteam/?TeamId=FvIbY2%2bFftyWL9gjTzN0Ig%2fChVW1cT%2bowFuGDwV3%2fk0%3d",7.11278434279221
"12","Michigan","College","Men","Division I","Great Lakes","Michigan DI","17","4","/teams/events/Eventteam/?TeamId=ULaD2lgbfs6ahV7nzCknxa9Dtw8%2bPtQpidFY%2bCm2d0g%3d",6.95570653647131
"13","Franciscan","College","Men","Division III","Ohio Valley","Ohio DIII","19","0","/teams/events/Eventteam/?TeamId=2CG0W5AyqCIKg59Z88pq7v0HTQTk1%2bI%2fOgRAenSAIaM%3d",6.53297663173662
"14","North Carolina State","College","Men","Division I","Atlantic Coast","Carolina DI","18","7","/teams/events/Eventteam/?TeamId=p1F2WSKSvCBiLVuHNC74p5lbXlbe6nY%2fXKbZZ3fH2Ls%3d",6.48684039894256
"15","Stanford","College","Men","Division I","Southwest","NorCal DI","14","8","/teams/events/Eventteam/?TeamId=GF3P5U1mOM9XI4LJr%2bd0K9pTOWqGL2sh5hg2ANzKsJQ%3d",6.08291904396705
"16","Washington","College","Men","Division I","Northwest","Cascadia DI","15","8","/teams/events/Eventteam/?TeamId=7fAZ7vZGbu4H9hgu4YNumWccDVsrtfw5hVFh9O6rA%2bI%3d",5.91631311427013
"17","Georgia","College","Men","Division I","Southeast","Southern Appalachian DI","13","7","/teams/events/Eventteam/?TeamId=Z8icJNv%2btXdqQAD9V0ujRC5vt%2bRltwBAQaoTdO98Nl4%3d",5.83515696941679
"18","Central Florida","College","Men","Division I","Southeast","Florida DI","18","12","/teams/events/Eventteam/?TeamId=bRUy5IJ2D7vkDhVw1uWDjAYV%2foM1Oed%2bDTLmfKTSlxg%3d",5.55453592131497
"19","Colorado State","College","Men","Division I","South Central","Rocky Mountain DI","16","7","/teams/events/Eventteam/?TeamId=p0aJHW8jJAKNh4%2fbu2WxWU8fx8OcpcUaF5174PtoigM%3d",5.31502639196983
