"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Links","Wins","Losses","Rating"
"1","North Carolina","College","Men","Division I","Atlantic Coast","Carolina DI","/teams/events/Eventteam/?TeamId=vI99IYpnl7lsznHrJX7LkkugCocbEmeBuwYqfHnOJ%2f8%3d",28,4,25.8670793028034
"2","Massachusetts","College","Men","Division I","New England","South New England DI","/teams/events/Eventteam/?TeamId=xo4%2fRBC6DCwAgyGkNlrh5Jd%2fAgMMkCvzBxM6cX8V%2fRw%3d",21,3,18.4910660339408
"3","Pittsburgh","College","Men","Division I","Ohio Valley","West Penn DI","/teams/events/Eventteam/?TeamId=YJKP2Ma0SbX%2bRSPzeNdLksaAijbBqVZyFDrQB%2byY60w%3d",25,3,18.0568927320786
"4","Carleton College","College","Men","Division I","North Central","Northwoods DI","/teams/events/Eventteam/?TeamId=iEbc40ZlaSQ96hP4uLRrLTbfxO85c5QJRJqYYmD0Du4%3d",18,7,14.2558070189435
"5","Oregon","College","Men","Division I","Northwest","Cascadia DI","/teams/events/Eventteam/?TeamId=0jLwmETaV%2fD03DR0Ot%2f5Z7%2bUzrYlQ%2f3NDAR26ipknaw%3d",27,5,14.226547461878
"6","Minnesota","College","Men","Division I","North Central","Northwoods DI","/teams/events/Eventteam/?TeamId=jGSHS2DOBZZZQyS0kuiXB8UYOqnKf60nCFGiVhspSbo%3d",21,4,11.8576658432804
"7","Wisconsin","College","Men","Division I","North Central","Lake Superior DI","/teams/events/Eventteam/?TeamId=r%2fiifMqBwegjH9eydr5Is1ImvkBwn2J%2bPyCrKK2T1%2bA%3d",17,9,9.41639807952634
"8","Colorado","College","Men","Division I","South Central","Rocky Mountain DI","/teams/events/Eventteam/?TeamId=GAT6WBHUZCfT%2fTQNIekbK4Zco%2bopLKvmonlrfnsM3Gs%3d",19,5,8.96645721976683
"9","Cal Poly-SLO","College","Men","Division I","Southwest","SoCal DI","/teams/events/Eventteam/?TeamId=upONuvObIX0TM7S2QuPFQ6%2bzUsEb4Mq3%2fxwncss5NEo%3d",23,12,8.04324469161995
"10","Brigham Young","College","Men","Division I","Northwest","Big Sky DI","/teams/events/Eventteam/?TeamId=kB9yug7FXzHWqdcGUE7djiAcTF7pFOBRrxC1ZYbxWs8%3d",20,6,7.0005533211168
"11","Michigan","College","Men","Division I","Great Lakes","Michigan DI","/teams/events/Eventteam/?TeamId=ULaD2lgbfs6ahV7nzCknxa9Dtw8%2bPtQpidFY%2bCm2d0g%3d",20,5,6.57199948818614
"12","North Carolina-Wilmington","College","Men","Division I","Atlantic Coast","Carolina DI","/teams/events/Eventteam/?TeamId=FvIbY2%2bFftyWL9gjTzN0Ig%2fChVW1cT%2bowFuGDwV3%2fk0%3d",20,6,6.26436015024569
"13","British Columbia","College","Men","Division I","Northwest","Cascadia DI","/teams/events/Eventteam/?TeamId=O8qD5sxMQuQNaVYulq3Jq0R6fv6H4DE1bfgN1KUj4kM%3d",18,9,6.09530259087386
"14","Washington","College","Men","Division I","Northwest","Cascadia DI","/teams/events/Eventteam/?TeamId=7fAZ7vZGbu4H9hgu4YNumWccDVsrtfw5hVFh9O6rA%2bI%3d",21,10,6.01725052705929
"15","Georgia","College","Men","Division I","Southeast","Southern Appalachian DI","/teams/events/Eventteam/?TeamId=Z8icJNv%2btXdqQAD9V0ujRC5vt%2bRltwBAQaoTdO98Nl4%3d",20,7,5.82247512330305
"16","Colorado State","College","Men","Division I","South Central","Rocky Mountain DI","/teams/events/Eventteam/?TeamId=p0aJHW8jJAKNh4%2fbu2WxWU8fx8OcpcUaF5174PtoigM%3d",20,7,5.76012204050798
"17","North Carolina State","College","Men","Division I","Atlantic Coast","Carolina DI","/teams/events/Eventteam/?TeamId=p1F2WSKSvCBiLVuHNC74p5lbXlbe6nY%2fXKbZZ3fH2Ls%3d",24,9,5.6673588211502
"18","Central Florida","College","Men","Division I","Southeast","Florida DI","/teams/events/Eventteam/?TeamId=bRUy5IJ2D7vkDhVw1uWDjAYV%2foM1Oed%2bDTLmfKTSlxg%3d",23,14,5.64418972700787
"19","Stanford","College","Men","Division I","Southwest","NorCal DI","/teams/events/Eventteam/?TeamId=GF3P5U1mOM9XI4LJr%2bd0K9pTOWqGL2sh5hg2ANzKsJQ%3d",18,9,5.57005574260405
"20","Florida","College","Men","Division I","Southeast","Florida DI","/teams/events/Eventteam/?TeamId=p6Oa%2fO5c4opxvVr%2bnt556ig40ZsdI4NLAfq5Oc1NiUc%3d",26,10,4.56920475234477
"21","Auburn","College","Men","Division I","Southeast","Gulf Coast DI","/teams/events/Eventteam/?TeamId=t9l5eJtNdev%2bjDQ9ssYoEi9Otfbn4IeepbeItME4Lrs%3d",20,13,4.56322927753282
"22","Franciscan","College","Men","Division III","Ohio Valley","Ohio DIII","/teams/events/Eventteam/?TeamId=2CG0W5AyqCIKg59Z88pq7v0HTQTk1%2bI%2fOgRAenSAIaM%3d",20,0,3.70217548437195
"23","Oregon State","College","Men","Division I","Northwest","Cascadia DI","/teams/events/Eventteam/?TeamId=KK9IlE32pAzCH4xAy%2bN2lJKVus6hjjCV%2bu8zX4bboVs%3d",23,14,3.5163682090321
"24","Florida State","College","Men","Division I","Southeast","Florida DI","/teams/events/Eventteam/?TeamId=Jjdh%2fXtnfhVHWcjlZqdfm3BtjB50AjaNgx%2frE6YoiSE%3d",14,16,3.38611302183348
"25","Virginia","College","Men","Division I","Atlantic Coast","Virginia DI","/teams/events/Eventteam/?TeamId=DJE01suwRGBprWcMy3TCAdenbIvzWGYPXgPwAqYowhM%3d",22,7,3.00552783591698
"26","Purdue","College","Men","Division I","Great Lakes","East Plains DI","/teams/events/Eventteam/?TeamId=8XhkSNmN63ufgVWOWT6OLqvw9O3kfk5v59B4fOD%2fJ4o%3d",21,4,2.93497061248301
"27","California-Santa Barbara","College","Men","Division I","Southwest","SoCal DI","/teams/events/Eventteam/?TeamId=nelFhkhjgGclVCvGljw%2fHnNM7puXeb56ng695eGpy6E%3d",17,15,2.85342077083653
"28","Case Western Reserve","College","Men","Division I","Ohio Valley","Ohio DI","/teams/events/Eventteam/?TeamId=rM4XY89tFm7AEQ3s7Cm87hmWl3Oe2j2OTZ3I49m3rMc%3d",19,10,2.78059377231697
"29","Texas A&M","College","Men","Division I","South Central","South Texas DI","/teams/events/Eventteam/?TeamId=ccEBsqjDHLttzd5CiUTrJB68eTa8BXzfbxueOSSJUko%3d",14,8,2.60732055963566
"30","Connecticut","College","Men","Division I","Metro East","Hudson Valley DI","/teams/events/Eventteam/?TeamId=YYnZYOyp3grP1GuSgf90imP3KKBYrG6C3NUoIhxf65k%3d",14,16,2.58959227680094
"31","Brown","College","Men","Division I","New England","South New England DI","/teams/events/Eventteam/?TeamId=OUvScYkbw0BFIf8OR05004gIdCq5%2bEKKkgCM0P3ASIw%3d",10,15,2.58894275515422
"32","Western Washington","College","Men","Division I","Northwest","Cascadia DI","/teams/events/Eventteam/?TeamId=r99p1qS7iNIEJUMtdY0NgnagZ4FMrsONyU0TMH%2bKRa0%3d",13,12,2.4878894966307
"33","Cincinnati","College","Men","Division I","Ohio Valley","Ohio DI","/teams/events/Eventteam/?TeamId=DGe1rZIRMlgiShbKCDcbv5dp6NL7vaFtP6tDaHA%2b6eg%3d",18,10,2.46759952147469
"34","Northwestern","College","Men","Division I","Great Lakes","Illinois DI","/teams/events/Eventteam/?TeamId=I7w9UnRYFw%2bulHgTHFCq4Wyc0AIJlBkWnpb9xdW%2biMU%3d",25,10,2.38659940456618
"35","Notre Dame","College","Men","Division I","Great Lakes","East Plains DI","/teams/events/Eventteam/?TeamId=WgRfir8LU7DOF%2bdWNsPthKYWwj4uiLzr6G4izUkmxVM%3d",19,14,2.37088613354059
"36","Southern California","College","Men","Division I","Southwest","SoCal DI","/teams/events/Eventteam/?TeamId=CxR4R4GqVpPdk%2b%2bJ9Fd8LgQMMKPk5yIgX6QA4gjkaFc%3d",16,7,2.29768684412271
"37","Virginia Tech","College","Men","Division I","Atlantic Coast","Virginia DI","/teams/events/Eventteam/?TeamId=cka3O9x4lcgypSMx8dYlv3ZdTWfKMlJDK6rm9lGMSQE%3d",12,15,2.25208609805372
"38","Harvard","College","Men","Division I","New England","Metro Boston DI","/teams/events/Eventteam/?TeamId=GR%2f7FpUMAHYiCNUZ6dwVZjArqD2Qxokk36oXiSKGk9Y%3d",14,14,2.05204500185481
"39","Texas","College","Men","Division I","South Central","South Texas DI","/teams/events/Eventteam/?TeamId=IpqF2j5DGGSa4G05i%2fN9juaihnT8eQxDdoJmCkCdgfg%3d",10,14,1.97784699972706
"40","LSU","College","Men","Division I","Southeast","Gulf Coast DI","/teams/events/Eventteam/?TeamId=zpSOdcDSsYKTG2%2fMo2U%2bP5D9eTwxhNYAMM6XVAZhCLc%3d",27,12,1.95184747715332
"41","Tufts","College","Men","Division I","New England","Metro Boston DI","/teams/events/Eventteam/?TeamId=J4AliUeh5ZlPjYBlgF%2bpjmbHcK4HYGn5gkhf5yGrBBI%3d",7,11,1.84294097435026
"42","James Madison","College","Men","Division I","Atlantic Coast","Virginia DI","/teams/events/Eventteam/?TeamId=DdcUab8gUmqIIJaDfsz5MBnRuk23KhzHkFPRQ%2f7lWYs%3d",20,8,1.83073980682403
"43","William & Mary","College","Men","Division I","Atlantic Coast","Virginia DI","/teams/events/Eventteam/?TeamId=BT6dvz9i297AHGqETMr9lgFLtyCBruZKHSjJd%2bktZkk%3d",19,14,1.78225244462273
"44","Texas Tech","College","Men","Division I","South Central","North Texas DI","/teams/events/Eventteam/?TeamId=h4NQwK%2fuKG%2f3LccB%2fBTTnMENJYYD7mDdwMHpcL53CLA%3d",22,4,1.70556425938541
"45","Ohio State","College","Men","Division I","Ohio Valley","Ohio DI","/teams/events/Eventteam/?TeamId=YQyMLUencDbRAvnLTZ8eUVDvddbcRu1Rpp%2fvsi6%2b%2fes%3d",21,15,1.68165642840544
"46","Northeastern","College","Men","Division I","New England","Metro Boston DI","/teams/events/Eventteam/?TeamId=MhzZVzBDtrZbw%2fP8ZZEAL3yUx%2fdFP8JewePv6OHdHRY%3d",18,9,1.63713719100381
"47","Penn State","College","Men","Division I","Ohio Valley","West Penn DI","/teams/events/Eventteam/?TeamId=UtA3lYk3CKAms8pBRbK2pGtrYVaf4I482HqHjsUbAEI%3d",15,6,1.63339997605241
