"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","North Carolina (Darkside)",52,6,"College","Men","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=vI99IYpnl7lsznHrJX7LkkugCocbEmeBuwYqfHnOJ%2f8%3d",293,34.0653253437195
"2","Bryant (Bryant Craze)",32,0,"College","Men","Smithfield","RI","/teams/events/Eventteam/?TeamId=cPPnVCIhsr4ournMe583ba2QGcQCOiNc%2b2%2bHaqWv2ts%3d",51,27.4869171666384
"3","Pittsburgh (En Sabah Nur)",42,5,"College","Men","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=YJKP2Ma0SbX%2bRSPzeNdLksaAijbBqVZyFDrQB%2byY60w%3d",339,26.2263452624962
"4","Carleton College (Carleton College (CUT))",50,14,"College","Men","Northfield","MN","/teams/events/Eventteam/?TeamId=iEbc40ZlaSQ96hP4uLRrLTbfxO85c5QJRJqYYmD0Du4%3d",77,23.9013017677793
"5","Massachusetts (Zoodisc)",42,6,"College","Men","Amherst","MA","/teams/events/Eventteam/?TeamId=xo4%2fRBC6DCwAgyGkNlrh5Jd%2fAgMMkCvzBxM6cX8V%2fRw%3d",249,23.4230310565454
"6","Oregon (Ego)",42,8,"College","Men","Eugene","OR","/teams/events/Eventteam/?TeamId=0jLwmETaV%2fD03DR0Ot%2f5Z7%2bUzrYlQ%2f3NDAR26ipknaw%3d",326,20.7773576977812
"7","Minnesota (Grey Duck)",56,8,"College","Men","Minneapolis","MN","/teams/events/Eventteam/?TeamId=jGSHS2DOBZZZQyS0kuiXB8UYOqnKf60nCFGiVhspSbo%3d",267,18.7482803651093
"8","Wisconsin (Hodags)",34,19,"College","Men","Madison","WI","/teams/events/Eventteam/?TeamId=r%2fiifMqBwegjH9eydr5Is1ImvkBwn2J%2bPyCrKK2T1%2bA%3d",515,15.014359593006
"9","Colorado (Mamabird)",40,10,"College","Men","Boulder","CO","/teams/events/Eventteam/?TeamId=GAT6WBHUZCfT%2fTQNIekbK4Zco%2bopLKvmonlrfnsM3Gs%3d",108,11.8945653692043
"10","Cal Poly-SLO (SLOCORE)",52,24,"College","Men","San Luis Obispo","CA","/teams/events/Eventteam/?TeamId=upONuvObIX0TM7S2QuPFQ6%2bzUsEb4Mq3%2fxwncss5NEo%3d",55,11.141080692977
"11","Washington (Sundodgers)",37,18,"College","Men","Seattle","WA","/teams/events/Eventteam/?TeamId=7fAZ7vZGbu4H9hgu4YNumWccDVsrtfw5hVFh9O6rA%2bI%3d",478,9.77486481670578
"12","Brigham Young (CHI)",44,12,"College","Men","Provo","UT","/teams/events/Eventteam/?TeamId=kB9yug7FXzHWqdcGUE7djiAcTF7pFOBRrxC1ZYbxWs8%3d",46,9.58288918616643
"13","Michigan (MagnUM)",40,10,"College","Men","Ann Arbor","MI","/teams/events/Eventteam/?TeamId=ULaD2lgbfs6ahV7nzCknxa9Dtw8%2bPtQpidFY%2bCm2d0g%3d",256,8.46623803918847
"14","North Carolina-Wilmington (Seamen)",32,9,"College","Men","Wilmington","NC","/teams/events/Eventteam/?TeamId=FvIbY2%2bFftyWL9gjTzN0Ig%2fChVW1cT%2bowFuGDwV3%2fk0%3d",292,8.26871638161082
"15","Stanford (Stanford Bloodthirsty)",35,14,"College","Men","Stanford","CA","/teams/events/Eventteam/?TeamId=GF3P5U1mOM9XI4LJr%2bd0K9pTOWqGL2sh5hg2ANzKsJQ%3d",401,8.05843560933408
"16","British Columbia (Thunderbirds)",40,22,"College","Men","Vancouver","BC","/teams/events/Eventteam/?TeamId=O8qD5sxMQuQNaVYulq3Jq0R6fv6H4DE1bfgN1KUj4kM%3d",47,7.86936152695242
"17","North Carolina State (NCSU Wolfpack)",42,16,"College","Men","Raleigh","NC","/teams/events/Eventteam/?TeamId=p1F2WSKSvCBiLVuHNC74p5lbXlbe6nY%2fXKbZZ3fH2Ls%3d",294,7.4718600896155
"18","Colorado State (Hibida)",42,14,"College","Men","Fort Collins","CO","/teams/events/Eventteam/?TeamId=p0aJHW8jJAKNh4%2fbu2WxWU8fx8OcpcUaF5174PtoigM%3d",112,7.45396436064914
"19","Georgia (Jojah)",40,14,"College","Men","Athens","GA","/teams/events/Eventteam/?TeamId=Z8icJNv%2btXdqQAD9V0ujRC5vt%2bRltwBAQaoTdO98Nl4%3d",165,7.40464025227369
"20","Central Florida (Dogs of War)",46,28,"College","Men","Orlando","FL","/teams/events/Eventteam/?TeamId=bRUy5IJ2D7vkDhVw1uWDjAYV%2foM1Oed%2bDTLmfKTSlxg%3d",87,7.25594114117191
"21","Franciscan (Fatal)",60,0,"College","Men","Steubenville","OH","/teams/events/Eventteam/?TeamId=2CG0W5AyqCIKg59Z88pq7v0HTQTk1%2bI%2fOgRAenSAIaM%3d",155,6.90573450110566
