"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"1","Bryant (Bryant Craze)","College","Men","Smithfield","RI","/teams/events/Eventteam/?TeamId=cPPnVCIhsr4ournMe583ba2QGcQCOiNc%2b2%2bHaqWv2ts%3d",NA,NA,NA,NA,NA,NA,19,0,51,42.3375277338162
"2","North Carolina (Darkside)","College","Men","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=vI99IYpnl7lsznHrJX7LkkugCocbEmeBuwYqfHnOJ%2f8%3d",4,"North Carolina",2082,"Division I","Atlantic Coast","Carolina DI",29,4,293,31.9495617024327
"3","Pittsburgh (En Sabah Nur)","College","Men","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=YJKP2Ma0SbX%2bRSPzeNdLksaAijbBqVZyFDrQB%2byY60w%3d",2,"Pittsburgh",2160,"Division I","Ohio Valley","West Penn DI",32,3,339,28.0639099350879
"4","Carleton College (Carleton College (CUT))","College","Men","Northfield","MN","/teams/events/Eventteam/?TeamId=iEbc40ZlaSQ96hP4uLRrLTbfxO85c5QJRJqYYmD0Du4%3d",3,"Carleton College",2112,"Division I","North Central","Northwoods DI",26,8,77,23.6723640316942
"5","Massachusetts (Zoodisc)","College","Men","Amherst","MA","/teams/events/Eventteam/?TeamId=xo4%2fRBC6DCwAgyGkNlrh5Jd%2fAgMMkCvzBxM6cX8V%2fRw%3d",1,"Massachusetts",2185,"Division I","New England","South New England DI",21,3,249,22.0387586342934
"6","Oregon (Ego)","College","Men","Eugene","OR","/teams/events/Eventteam/?TeamId=0jLwmETaV%2fD03DR0Ot%2f5Z7%2bUzrYlQ%2f3NDAR26ipknaw%3d",7,"Oregon",2009,"Division I","Northwest","Cascadia DI",33,6,326,20.1902054948961
"7","Minnesota (Grey Duck)","College","Men","Minneapolis","MN","/teams/events/Eventteam/?TeamId=jGSHS2DOBZZZQyS0kuiXB8UYOqnKf60nCFGiVhspSbo%3d",5,"Minnesota",2061,"Division I","North Central","Northwoods DI",30,4,267,19.7491653633614
"8","Wisconsin (Hodags)","College","Men","Madison","WI","/teams/events/Eventteam/?TeamId=r%2fiifMqBwegjH9eydr5Is1ImvkBwn2J%2bPyCrKK2T1%2bA%3d",8,"Wisconsin",1972,"Division I","North Central","Lake Superior DI",27,11,515,15.6530045004934
"9","Colorado (Mamabird)","College","Men","Boulder","CO","/teams/events/Eventteam/?TeamId=GAT6WBHUZCfT%2fTQNIekbK4Zco%2bopLKvmonlrfnsM3Gs%3d",6,"Colorado",2032,"Division I","South Central","Rocky Mountain DI",20,5,108,11.0448165786118
"10","Cal Poly-SLO (SLOCORE)","College","Men","San Luis Obispo","CA","/teams/events/Eventteam/?TeamId=upONuvObIX0TM7S2QuPFQ6%2bzUsEb4Mq3%2fxwncss5NEo%3d",13,"Cal Poly-SLO",1881,"Division I","Southwest","SoCal DI",28,14,55,10.6198962305852
"11","Washington (Sundodgers)","College","Men","Seattle","WA","/teams/events/Eventteam/?TeamId=7fAZ7vZGbu4H9hgu4YNumWccDVsrtfw5hVFh9O6rA%2bI%3d",14,"Washington",1879,"Division I","Northwest","Cascadia DI",26,10,478,10.2010411165722
"12","Brigham Young (CHI)","College","Men","Provo","UT","/teams/events/Eventteam/?TeamId=kB9yug7FXzHWqdcGUE7djiAcTF7pFOBRrxC1ZYbxWs8%3d",10,"Brigham Young",1927,"Division I","Northwest","Big Sky DI",22,6,46,9.06197603297008
