"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Wins","Losses","Links","Rating"
"1","Stanford","College","Women","Division I","Southwest","NorCal DI",25,4,"/teams/events/Eventteam/?TeamId=faCvEuMFy23C4G8BHhXN5bNK3vSLwrtP1rTRsReJrTw%3d",21.4595909372756
"2","Texas","College","Women","Division I","South Central","Texas DI",22,3,"/teams/events/Eventteam/?TeamId=u92PZuIwLDsnzZotN6V3ycmxqrItAf6ivB9wAGa5RzM%3d",16.7543159871131
"3","UCLA","College","Women","Division I","Southwest","SoCal DI",26,4,"/teams/events/Eventteam/?TeamId=XuZnaetsEFfw7Mi7zx9NO3tqY2G8yPobx7r1ukbjM0s%3d",15.9095063231769
"4","Tufts","College","Women","Division I","New England","Metro Boston DI",21,3,"/teams/events/Eventteam/?TeamId=NPK43YoRMkOdohg3cwwhJIMAS8fQ2q5wEqfyGodWFVc%3d",13.1790070567722
"5","Dartmouth","College","Women","Division I","New England","Greater New England DI",17,4,"/teams/events/Eventteam/?TeamId=TD1wPc1I0sgrpL%2b1X4GcAfprv67kxfwMicdhFf%2bHL2w%3d",12.0460022060496
"6","Virginia","College","Women","Division I","Atlantic Coast","Virginia DI",28,4,"/teams/events/Eventteam/?TeamId=Pa9hSBvBGBuVddUcFODw63s9LRWMO1lvMQ44E3VerlI%3d",11.9706172665577
"7","California","College","Women","Division I","Southwest","NorCal DI",21,10,"/teams/events/Eventteam/?TeamId=mpzN%2fVnxZJJKtfn5A4%2fFlN030n0gCr87nO55aQmvB2o%3d",10.0583057878039
"8","British Columbia","College","Women","Division I","Northwest","Cascadia DI",14,4,"/teams/events/Eventteam/?TeamId=NNu4QDzdxmCc84pORcnIqUnQt0yr%2fW3rDg1e7G0pCXs%3d",8.57377823795209
"9","Oregon","College","Women","Division I","Northwest","Cascadia DI",19,12,"/teams/events/Eventteam/?TeamId=N%2b7PzrXcPsKTx6%2b7vdtjUbmN0frrwfDm%2fVuoS02%2f5sg%3d",7.24981469139027
"10","Pittsburgh","College","Women","Division I","Ohio Valley","Pennsylvania DI",19,6,"/teams/events/Eventteam/?TeamId=5slmE1sQQsinK38zekixhdaET5Mj7TP9tXv5TPF4NSk%3d",6.95009034907852
"11","Notre Dame","College","Women","Division I","Great Lakes","Eastern Great Lakes DI",18,6,"/teams/events/Eventteam/?TeamId=NlgGmF5%2fHFFCFk0%2bit1Df4adVSNOl1Ab%2bLRZdw5gBHw%3d",5.63201792200141
"12","Colorado","College","Women","Division I","South Central","Rocky Mountain DI",11,10,"/teams/events/Eventteam/?TeamId=gusM8XMge2EY2DPbF8NPCjtiszB7UuMTxRwXBD0dJVc%3d",5.45999449713228
"13","Michigan","College","Women","Division I","Great Lakes","Eastern Great Lakes DI",13,11,"/teams/events/Eventteam/?TeamId=VKxIKXEDdQLYPNLiXn0FibYcbr625nQBtm2CLlApId8%3d",4.98974831409821
"14","Southern California","College","Women","Division I","Southwest","SoCal DI",17,11,"/teams/events/Eventteam/?TeamId=kYEAvqM6osoedNBKIjIgFJ7YmKzbwypoaisrdUYJ3k0%3d",4.71682105925833
"15","Carleton College","College","Women","Division I","North Central","Western North Central DI",17,9,"/teams/events/Eventteam/?TeamId=NwrqWq7T52otvyL5c9Wsgq8nWWuA6j3c9jcVFfaUhNE%3d",4.55465833059313
"16","Ohio State","College","Women","Division I","Ohio Valley","Ohio DI",19,10,"/teams/events/Eventteam/?TeamId=Wmb6gNGRpntGn1S3HGYdc6MliHJ1KaUc4NkMTm%2bOadg%3d",4.22379944061595
"17","California-San Diego","College","Women","Division I","Southwest","SoCal DI",17,13,"/teams/events/Eventteam/?TeamId=4cRw9FDJ9oW5ffiKGabttFznjbbxQjlkLM9CmN%2fLa7k%3d",4.13666391654379
"18","North Carolina","College","Women","Division I","Atlantic Coast","Carolina DI",16,7,"/teams/events/Eventteam/?TeamId=gUiWjT9ywZbw1fX%2fupfcfpLQtBXRn%2bkZHPLcLj%2f5g8w%3d",4.13150589719041
"19","Florida","College","Women","Division I","Southeast","Florida DI",25,10,"/teams/events/Eventteam/?TeamId=o2%2bgz5kZ4fEUJVq2NBLCaNWBn6DXEl6DRUkaIPd4bqA%3d",3.93266129588319
"20","Georgetown","College","Women","Division I","Atlantic Coast","Colonial DI",26,5,"/teams/events/Eventteam/?TeamId=41GYrlDvmTeKymN9bt9oThwTqkV%2bzbvS%2fyhHFluWNlE%3d",3.05069887645657
"21","Kansas","College","Women","Division I","South Central","Ozarks DI",27,6,"/teams/events/Eventteam/?TeamId=SJEwN6h039xYkq571Ag%2b6CaXtiMtHuwE2RNbj4dM8jY%3d",2.74550021572473
"22","Whitman","College","Women","Division I","Northwest","Big Sky DI",12,10,"/teams/events/Eventteam/?TeamId=1uJ5zDTH88%2fhgLMZuxhunRtHhOkN%2ftD5V4YVm3aQgqU%3d",2.53830939435767
"23","California-Davis","College","Women","Division I","Southwest","NorCal DI",18,13,"/teams/events/Eventteam/?TeamId=9oWJlSxruUXZ5mlv%2ffljz7%2bjIEXyOft3F3nd1xt8dRI%3d",2.37218109478402
"24","Iowa State","College","Women","Division I","North Central","Western North Central DI",19,6,"/teams/events/Eventteam/?TeamId=%2brbxZekO2c0nzlhiafO3HcIDdynbCestG6MixMijxUk%3d",2.33656985040454
"25","North Carolina-Wilmington","College","Women","Division I","Atlantic Coast","Carolina DI",17,10,"/teams/events/Eventteam/?TeamId=Svc7GD5ciYxSWUqtNiL4cLKPAHwbd2oHPX7pzv67rnI%3d",2.2913422308746
"26","West Chester","College","Women","Division I","Ohio Valley","Pennsylvania DI",19,4,"/teams/events/Eventteam/?TeamId=l956kZyz0JpZ5LX%2bn6e0RfghY9QIumLsK6X218BRmYM%3d",2.15557588605363
"27","Liberty","College","Women","Division I","Atlantic Coast","Virginia DI",21,9,"/teams/events/Eventteam/?TeamId=2KtfN4%2f1SybgbVEiL4BgCHwU%2fMt6UUhr2U99VtwS8gQ%3d",1.90662571634773
"28","Vermont","College","Women","Division I","New England","Greater New England DI",13,8,"/teams/events/Eventteam/?TeamId=tnSj9MDVfXpvFsGoAdunXjjhz4lGWDc0MjzUbRh3n5I%3d",1.76034470005645
"29","Cornell","College","Women","Division I","Metro East","Western NY DI",27,2,"/teams/events/Eventteam/?TeamId=z3eFI7xFYmutBzFzercqYtBoddv8p8SD9xT%2fuSyenkE%3d",1.64775253458307
"30","Colorado State","College","Women","Division I","South Central","Rocky Mountain DI",18,5,"/teams/events/Eventteam/?TeamId=%2bXYlWj%2fs0LB%2f7GD0pgbUG7HQuDjd0CcmTehQxIz3HFs%3d",1.64617597638607
