"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Stanford (Stanford (Superfly))",26,4,"College","Women","Stanford","CA","/teams/events/Eventteam/?TeamId=faCvEuMFy23C4G8BHhXN5bNK3vSLwrtP1rTRsReJrTw%3d",245,27.4888025011011
"2","UCLA (BLU)",27,5,"College","Women","Los Angeles","CA","/teams/events/Eventteam/?TeamId=XuZnaetsEFfw7Mi7zx9NO3tqY2G8yPobx7r1ukbjM0s%3d",277,17.7015891539326
"3","Tufts (EWO)",22,3,"College","Women","Somerville","MA","/teams/events/Eventteam/?TeamId=NPK43YoRMkOdohg3cwwhJIMAS8fQ2q5wEqfyGodWFVc%3d",274,17.5023708974026
"4","Texas (Melee)",21,4,"College","Women","Austin","TX","/teams/events/Eventteam/?TeamId=u92PZuIwLDsnzZotN6V3ycmxqrItAf6ivB9wAGa5RzM%3d",263,17.4897506300635
"5","Dartmouth (Princess Layout)",19,4,"College","Women","Hanover","NH","/teams/events/Eventteam/?TeamId=TD1wPc1I0sgrpL%2b1X4GcAfprv67kxfwMicdhFf%2bHL2w%3d",73,15.7696021857338
"6","Virginia (Hydra)",28,4,"College","Women","Charlottesville","VA","/teams/events/Eventteam/?TeamId=Pa9hSBvBGBuVddUcFODw63s9LRWMO1lvMQ44E3VerlI%3d",287,14.7534364585496
"7","California (Pie Queens)",23,11,"College","Women","Berkeley","CA","/teams/events/Eventteam/?TeamId=mpzN%2fVnxZJJKtfn5A4%2fFlN030n0gCr87nO55aQmvB2o%3d",41,12.2823551946571
"8","British Columbia (Thunderbirds)",18,5,"College","Women","Vancouver","British Columbia","/teams/events/Eventteam/?TeamId=NNu4QDzdxmCc84pORcnIqUnQt0yr%2fW3rDg1e7G0pCXs%3d",27,11.7952469616757
"9","Oregon (Fugue)",24,13,"College","Women","Eugene","OR","/teams/events/Eventteam/?TeamId=N%2b7PzrXcPsKTx6%2b7vdtjUbmN0frrwfDm%2fVuoS02%2f5sg%3d",203,10.2142921833134
"10","Pittsburgh (Danger)",21,7,"College","Women","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=5slmE1sQQsinK38zekixhdaET5Mj7TP9tXv5TPF4NSk%3d",212,8.48860902735611
"11","Southern California (Hellions of Troy)",20,12,"College","Women","Los Angeles","CA","/teams/events/Eventteam/?TeamId=kYEAvqM6osoedNBKIjIgFJ7YmKzbwypoaisrdUYJ3k0%3d",240,7.54598728316818
