"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"1","Stanford (Stanford (Superfly))","College","Women","Stanford","CA","/teams/events/Eventteam/?TeamId=faCvEuMFy23C4G8BHhXN5bNK3vSLwrtP1rTRsReJrTw%3d",1,"Stanford",2313,"Division I","Southwest","NorCal DI",28,5,242,25.1459049365116
"2","Texas (Melee)","College","Women","Austin","TX","/teams/events/Eventteam/?TeamId=u92PZuIwLDsnzZotN6V3ycmxqrItAf6ivB9wAGa5RzM%3d",2,"Texas",2227,"Division I","South Central","Texas DI",25,4,260,18.5611250093338
"3","Dartmouth (Princess Layout)","College","Women","Hanover","NH","/teams/events/Eventteam/?TeamId=TD1wPc1I0sgrpL%2b1X4GcAfprv67kxfwMicdhFf%2bHL2w%3d",4,"Dartmouth",2157,"Division I","New England","Greater New England DI",23,4,73,17.1253304905643
"4","UCLA (BLU)","College","Women","Los Angeles","CA","/teams/events/Eventteam/?TeamId=XuZnaetsEFfw7Mi7zx9NO3tqY2G8yPobx7r1ukbjM0s%3d",7,"UCLA",2115,"Division I","Southwest","SoCal DI",29,7,274,16.0889069113259
"5","Tufts (EWO)","College","Women","Somerville","MA","/teams/events/Eventteam/?TeamId=NPK43YoRMkOdohg3cwwhJIMAS8fQ2q5wEqfyGodWFVc%3d",5,"Tufts",2135,"Division I","New England","Metro Boston DI",26,3,271,15.7821371786083
"6","Virginia (Hydra)","College","Women","Charlottesville","VA","/teams/events/Eventteam/?TeamId=Pa9hSBvBGBuVddUcFODw63s9LRWMO1lvMQ44E3VerlI%3d",3,"Virginia",2200,"Division I","Atlantic Coast","Virginia DI",32,4,284,15.3545459336391
"7","California (Pie Queens)","College","Women","Berkeley","CA","/teams/events/Eventteam/?TeamId=mpzN%2fVnxZJJKtfn5A4%2fFlN030n0gCr87nO55aQmvB2o%3d",9,"California",2069,"Division I","Southwest","NorCal DI",24,13,41,11.8726955604341
"8","British Columbia (Thunderbirds)","College","Women","Vancouver","British Columbia","/teams/events/Eventteam/?TeamId=NNu4QDzdxmCc84pORcnIqUnQt0yr%2fW3rDg1e7G0pCXs%3d",6,"British Columbia",2124,"Division I","Northwest","Cascadia DI",19,5,27,11.5116537833462
"9","Oregon (Fugue)","College","Women","Eugene","OR","/teams/events/Eventteam/?TeamId=N%2b7PzrXcPsKTx6%2b7vdtjUbmN0frrwfDm%2fVuoS02%2f5sg%3d",11,"Oregon",1964,"Division I","Northwest","Cascadia DI",27,13,200,10.5312403764892
"10","Pittsburgh (Danger)","College","Women","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=5slmE1sQQsinK38zekixhdaET5Mj7TP9tXv5TPF4NSk%3d",10,"Pittsburgh",2010,"Division I","Ohio Valley","Pennsylvania DI",23,7,209,8.37242255546695
"11","Southern California (Hellions of Troy)","College","Women","Los Angeles","CA","/teams/events/Eventteam/?TeamId=kYEAvqM6osoedNBKIjIgFJ7YmKzbwypoaisrdUYJ3k0%3d",17,"Southern California",1843,"Division I","Southwest","SoCal DI",24,14,237,8.05208814178567
"12","Colorado (Kali)","College","Women","Boulder","CO","/teams/events/Eventteam/?TeamId=gusM8XMge2EY2DPbF8NPCjtiszB7UuMTxRwXBD0dJVc%3d",12,"Colorado",1944,"Division I","South Central","Rocky Mountain DI",15,10,62,7.54772236025442
"13","Notre Dame (Womb)","College","Women","Notre Dame","IN","/teams/events/Eventteam/?TeamId=NlgGmF5%2fHFFCFk0%2bit1Df4adVSNOl1Ab%2bLRZdw5gBHw%3d",8,"Notre Dame",2106,"Division I","Great Lakes","Eastern Great Lakes DI",21,8,188,6.5886908021175
"14","Carleton College (Syzygy)","College","Women","Northfield","MN","/teams/events/Eventteam/?TeamId=NwrqWq7T52otvyL5c9Wsgq8nWWuA6j3c9jcVFfaUhNE%3d",15,"Carleton College",1875,"Division I","North Central","Western North Central DI",23,9,43,6.47718559605776
"15","Ohio State (Fever)","College","Women","Columbus","OH","/teams/events/Eventteam/?TeamId=Wmb6gNGRpntGn1S3HGYdc6MliHJ1KaUc4NkMTm%2bOadg%3d",16,"Ohio State",1872,"Division I","Ohio Valley","Ohio DI",25,11,196,6.27228765586499
