"Rank","Team","Wins","Losses","Rating","City","State"
1,"Surly",6,0,5.69592573193806,"Minneapolis","MN"
2,"Johnny Walker",15,2,5.64604237080515,"Denver/Boulder","CO"
3,"No Country",15,2,2.32529436857927,"Brattleboro","VT"
4,"Shadows",9,2,1.86126489200525,"Oakland","CA"
5,"Endless Sunset",10,8,1.51763144896387,"San Diego","CA"
6,"Reckon",9,3,0.86968908172489,"GA/TN/etc","GA"
7,"ShutDown",5,2,0.50553900251913,"Washington","DC"
8,"Kalakala",9,7,0.442553128635733,"Seattle","WA"
9,"Hootenanny",11,9,0.411951212050741,"Raleigh","NC"
10,"Old Man Winter",7,4,0.324544842290404,"chicago","IL"
11,"Bighorn",7,5,0.259431227431933,"Boulder","CO"
12,"projectile dysfunction team HELM",6,5,0.220776442538672,"columbus","OH"
13,"Critical Mass",3,8,0.0856964840779477,"Northampton","MA"
14,"GrandMaster Flash",8,13,0.0444939949835272,"Orlando","FL"
15,"Sick Hammers",3,7,0.0437858255174321,"Austin","TX"
16,"DinoSlam",1,1,0.0395654787700435,"Portland","OR"
17,"Moscow State",2,3,0.0362521271635121,"New York","NY"
18,"Age Against the Machine",2,3,0.0334793913296102,"Cincinnati","OH"
19,"Borderline",4,4,0.0310209813912999,"Maritimes","Nova Scotia"
20,"Rust",2,4,0.016317357113316,"Birmingham","AL"
21,"Goatswitcher",0,5,0.0152891470230145,"Montgomery","AL"
22,"Old Growth (OG)",2,10,0.00794459421072183,"Silicon Valley","CA"
23,"Brooklyn",0,4,0.00347426752200051,"Brooklyn, USA","NY"
24,"Grandmasters of the Universe",1,5,5.02494521466934e-06,"Winnipeg","Manitoba"
25,"Big D N R",0,4,0,"Dallas","TX"
25,"Cal Grand Masters",0,5,0,"San Diego","CA"
25,"Legion",0,2,0,"Vancouver","British Columbia"
25,"Rust Belt",0,4,0,"Greater Detroit","MI"
