"Rank","Team","Wins","Losses","Rating","City","State"
1,"Solstice",6,1,0.00174552542586101,"Ottawa","Ontario"
2,"Boston",9,3,0.00125303960721134,"Boston","MA"
3,"Furari",5,2,0.00102629032289657,"San Diego","CA"
4,"Badonkadonk",3,3,0.000570366429158989,"Washington","DC"
5,"Retro",4,2,0.000384216900277639,"Raleigh Durham Chapel Hill","NC"
6,"Atlantiques",4,3,0.000225499064568253,"Atlanta","GA"
7,"She the North",4,2,0.000161510458030877,"Toronto","Ontario"
8,"J2",2,5,0.000107580104899768,"Seattle","WA"
9,"Sugarbowl",1,5,3.13586746336737e-06,"Boulder","CO"
10,"Peak Bloom",1,5,5.29846156430057e-08,"Rockville","MD"
11,"Prime",2,4,1.11505658202558e-08,"Chicago","IL"
12,"Off Their Rockers",0,6,2.30378874138152e-09,"San Francisco","CA"
