"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Catholic High School (Bayou Hazard)",5,0,"High School","Boys","Baton Rouge","LA","/teams/events/Eventteam/?TeamId=vZv4s63IAOdAN1zGZKwQR3fjbxmJ6cihyxxVAVSWNj0%3d",22,21.8941565865661
"2","Madison West High School (Madison West Ultimate)",6,0,"High School","Boys","Madison","WI","/teams/events/Eventteam/?TeamId=I%2fBwdnK%2bkjrx5Wz0EYPrxNcLnbK4X%2fND7tFupznOJ4k%3d",88,20.1971335932511
"3","Monarch A Boys (Monarch A Boys)",5,0,"High School","Boys","Louisville","CO","/teams/events/Eventteam/?TeamId=7AKCPMTNQJ4kOROWu7u%2bwk%2bjHhO5MQTYXqkHTcIkG2o%3d",95,19.9129861551007
"4","James Madison Memorial High School (Memorial Ultimate)",3,1,"High School","Boys","Madison","WI","/teams/events/Eventteam/?TeamId=zZUgwMUcHI6NLxZUDxv4B5TZNS6eTHo0rVg5%2fOxddnw%3d",68,9.71031688011663
"5","Carolina Friends School (Fighting Quakers)",13,0,"High School","Boys","Durham","NC","/teams/events/Eventteam/?TeamId=sum6YzxDO%2f%2fL8nry2K9jk050KZgBttYBkFTm5NOjcms%3d",17,6.56860224399603
"6","James Madison Memorial High School-B (Memorial B)",4,0,"High School","Boys","Madison","WI","/teams/events/Eventteam/?TeamId=seZLeSx%2fEuxyz8UbdDRUN6k%2bZML1njzWYpfq3iqf4zU%3d",69,4.17803030303032
"7","Lone Peak (Lone Peak)",5,1,"High School","Boys","Highland","UT","/teams/events/Eventteam/?TeamId=xsm5R4bqy4sjJ3lYfL2432402v7B3EHLb1cur33tOfw%3d",86,4.02889663650056
"8","Sky View High School (Sky View Ultimate A)",9,1,"High School","Boys","Smithfield","UT","/teams/events/Eventteam/?TeamId=aSjyqkRWlwmyulZLCf3wU%2bBxiBbaEi5H0tKly%2bifHKo%3d",116,3.96117927344488
"9","Bingham High School (Bingham Ultimate)",3,0,"High School","Boys","South Jordan","UT","/teams/events/Eventteam/?TeamId=Y0jDIcUTidzPGgFAejXymkUEX8o0XftVbdLsudr4AJM%3d",10,3.86744213251747
"10","McFarland High School (McFarland Spartans)",3,0,"High School","Boys","McFarland","WI","/teams/events/Eventteam/?TeamId=2mNr1GTzO1Rg8%2fTNAiGXkTfcdGAmiz3ect%2fgy7rmfrc%3d",92,3.1362683438155
"11","West HS Krakens open B team (West HS Krakens open B team)",3,1,"High School","Boys","Salt Lake City","UT","/teams/events/Eventteam/?TeamId=SqMyyUdIHZHR2FsQRbMTFe1A0T0pskxEnFEw79NEeLc%3d",132,2.59099587822708
"12","Timpview HS - A Team (Timpview)",9,1,"High School","Boys","Provo","UT","/teams/events/Eventteam/?TeamId=OsTntD%2fjrexw0XM2ZAHg70yD54%2b%2fWb7VNVnQxbX3%2fLY%3d",126,2.58605447089769
"13","Grady High School (Gauntlet)",4,2,"High School","Boys","Atlanta","GA","/teams/events/Eventteam/?TeamId=Y8%2fF0aKwpkXw6zNUjGZ4%2fmSrAykM5WSAa2cP1fdCJEc%3d",59,2.53074223388619
"14","Foothill (Foothill)",5,0,"High School","Boys","Pleasanton","CA","/teams/events/Eventteam/?TeamId=oE5VaOGbTKukn4JHlZObpm1lcM%2bNQWRDF4JZpbHv8vk%3d",53,1.99051695752388
"15","Lakeside High School (Lakeside HS Vikings)",9,2,"High School","Boys","Atlanta","GA","/teams/events/Eventteam/?TeamId=LtaqqCSP8E5E0WOUfTe5qRsIvPT%2f4lJZhOfrsU4WotE%3d",75,1.8510787294606
