"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Holy Family Catholic (Omega)",13,0,"High School","Girls","Cincinnati","OH","/teams/events/Eventteam/?TeamId=K8PrC3Qshnqlk%2fygUVikLE67CaZ9aK0PxYHZEem0ogU%3d",23,10.7166501385938
"2","Lone Peak (Lone Peak)",10,0,"High School","Girls","Highland","UT","/teams/events/Eventteam/?TeamId=8bP9QvfIlxR357xgEO8kOrkNu6oJCJCgWiI7YeTa4V8%3d",31,7.99999999999999
"3","Madison West High School (Nemea A)",2,0,"High School","Girls","Madison","WI","/teams/events/Eventteam/?TeamId=05T7kuvmD2zpROxLEoC6FtUAjrV%2fXVkF3XriBFL34EI%3d",34,6.18170797702523
"4","Paideia School (PythonsGroove Varsity)",9,0,"High School","Girls","Atlanta","GA","/teams/events/Eventteam/?TeamId=5zrSWpf%2bKvbsa0bbXHpzqfVvVqoyX6SskuRNlKgbQb8%3d",43,3.81649973793552
"5","Lakewood High School (Lakewood DEEP Girls)",3,0,"High School","Girls","Lakewood","CO","/teams/events/Eventteam/?TeamId=FpoBB5R7Q9TGDEZVaxT3lYj0U7V6bmHgsPMHz0B00G8%3d",28,3.66780952380952
"6","Boulder (Flower Power)",3,0,"High School","Girls","Boulder","CO","/teams/events/Eventteam/?TeamId=WWniSFFH4KanrASx%2b4Fd3MVY0yhVyPgsjO0h3ZP1YCc%3d",2,3.33333333333336
"7","High Country Christian Homeschoolers (Barefoot in the Park)",5,1,"High School","Girls","Valle Crucis","NC","/teams/events/Eventteam/?TeamId=VUU4e79bxGqmxyKxopWBP99f%2bM2D1vc0y7A8%2fztgHmY%3d",22,2.43191218304514
"8","Stoughton High School (Stoughton High School)",3,0,"High School","Girls","Stoughton","WI","/teams/events/Eventteam/?TeamId=DH1tBcQSuCGjwufQtCie9TWWDJUKyjYOcO5C3rjRiFs%3d",48,2.39188668643716
"9","Brookwood (Inferno)",6,3,"High School","Girls","Snellville","GA","/teams/events/Eventteam/?TeamId=uvtcz1ya99ilps5OZ%2f76vTebBC0m3LEvwpvVynCcy%2b0%3d",3,1.53030098004838
"10","Grady High School (Gauntlet (girls))",6,2,"High School","Girls","Atlanta","GA","/teams/events/Eventteam/?TeamId=i9FW9l%2bhYJohNSBNqrR3eZvi6juMcEGsEu7Q%2b4p6j7M%3d",19,1.45037993855294
"11","East Chapel Hill High School (East Eclipse)",6,3,"High School","Girls","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=1G%2fDynSh6xBDt9Uh1zleNBQl%2blAHVfJ%2f%2fx9HGZIBGwo%3d",12,1.12131645388861
"12","Carolina Friends School (Koi)",5,4,"High School","Girls","Carrboro","NC","/teams/events/Eventteam/?TeamId=EORRS%2b8QyPdBtZcN4wy%2bGRrXq3JBrwnyB%2fqCk4iP6So%3d",5,0.766423975800953
"13","East High School (Denver East Girls)",2,1,"High School","Girls","Denver","CO","/teams/events/Eventteam/?TeamId=Mep3NaMCnMJV%2fcGESgnZK8wRJJlL%2bhn6dH0ylGtNDmE%3d",13,0.666666666666671
"14","Combination Team - Lakeside & Decatur HS players (MELD)",4,4,"High School","Girls","Atlanta","GA","/teams/events/Eventteam/?TeamId=1fIZgnQiqE0fws%2b8cHPdYnDpAS%2fbuzjVqjCOKRlHvMs%3d",8,0.450904259117914
"15","Green Hope High School (Titans of Mischief)",3,4,"High School","Girls","Cary","NC","/teams/events/Eventteam/?TeamId=igFWuIpHyVd8jX%2baLbzpJfj23dIJZYOMw6O9KqRXSvs%3d",21,0.37217554357934
"16","Fairview High School (Fairview )",2,1,"High School","Girls","Boulder","CO","/teams/events/Eventteam/?TeamId=1ZYBDgFD%2b0YyEC7hD%2bVdaNm0MmaXzUu73MeAFnUQfB0%3d",16,0.318476190476191
"17","Durham School of the Arts (Bull City Bulldogs)",1,8,"High School","Girls","Durham","NC","/teams/events/Eventteam/?TeamId=CrbzfvcJibjujm7jry7i7I23kixG0%2bz%2b8Gb2Lyp1kjY%3d",11,0.308171843685956
"18","Paideia School-JV (JV Groove)",2,6,"High School","Girls","Atlanta","GA","/teams/events/Eventteam/?TeamId=i8a0%2bkAqfDoWFvH5DIX623pvtyZGFb9Xppo3xuOLpIk%3d",44,0.254540105958248
"19","Neuqua Valley Girls (eNVy)",10,4,"High School","Girls","Naperville","IL","/teams/events/Eventteam/?TeamId=KAVBgpDDccxdxvwdF4gKheC69VtfgNU8U8NbIKtYTzQ%3d",41,0.233175316847843
"20","JV Groove Paideia School JV Y (hs)",3,3,"High School","Girls","","","/teams/events/Eventteam/?TeamId=6QHky%2bkpcctp467J2UCl%2fb3J1Az9TVwinLx8Bc1Zoao%3d",27,0.210631507989183
"21","Grady High School-JV (Grady Gauntlet Girls)",0,7,"High School","Girls","Atlanta","GA","/teams/events/Eventteam/?TeamId=2v%2bM9WmyDEVZN%2bYiJAD8MmNNFaFW360IJlXp%2fzs4NVc%3d",20,0.198537514425088
"22","Middleton High School (RiDISCulous)",4,1,"High School","Girls","Middleton","WI","/teams/events/Eventteam/?TeamId=lW3YWMzcPzzQ7Tv3E1%2bGJfms77MZiQ4f2qZbo%2bWMJjI%3d",37,0.180323624440232
"23","Oregon High School (Panther Ultimate)",2,2,"High School","Girls","Oregon","WI","/teams/events/Eventteam/?TeamId=3v9FdYTbnBxkbqk0hbInM2MLBTOEcRWpsW5UA2Or86E%3d",42,0.121763641921007
"24","Woodward Academy (Woodward Academy Female Ultimate)",1,6,"High School","Girls","College Park","GA","/teams/events/Eventteam/?TeamId=lHaCzY%2fLTxWyfpkoR8%2bG4VpPMM9Yu7C7%2bJS09czzXHU%3d",54,0.08820595597273
"25","Madison East High School (Madison East Girls)",2,1,"High School","Girls","Madison","WI","/teams/events/Eventteam/?TeamId=sWP8cnF4o1PgDlo2bAory34mTUDe%2faMDVWXyl1aW%2bB4%3d",33,0.0713599740790214
"26","Edgewood High School (Brawlirific Platypi (Girls))",1,3,"High School","Girls","Madison","WI","/teams/events/Eventteam/?TeamId=zEJUXWhpdt2Md0D4vzOGPE72Z%2fInFv%2bVP02xADrunew%3d",14,0.0397660720718001
"27","Geneva (Lady Vikings)",2,4,"High School","Girls","Geneva","IL","/teams/events/Eventteam/?TeamId=Yf5nL5vF5QxDxvLERNPWiI2kIBP2gaSguhjD84UYvZI%3d",18,0.0146831413644652
