"Rank","Team","Wins","Losses","Rating","City","State"
1,"Johnny Encore",14,2,1.00367970952371,"Denver","CO"
2,"Rest Stop",6,2,0.29472806547242,"Baltimore","MD"
3,"Voltron 2020",6,2,0.290022506096531,"Seattle","WA"
4,"Boneyard",6,1,0.280611878948808,"Raleigh-Durham","NC"
5,"Black Cans & Highlands",5,4,0.176208819400122,"Washington","DC"
6,"All Bashed Out",6,3,0.128921157522529,"Albany ""Cap City Bang Bang""","NY"
7,"Surly",11,2,0.123097257746545,"MINNEAPOLIS","MN"
8,"Crawl",6,3,0.0295770330956351,"Phoenix","AZ"
9,"Horse",1,1,0.010270430387458,"New York","NY"
10,"Gravy Train Wreck",1,6,0.00438456663015091,"Seattle","WA"
11,"Pacemaker",9,3,0.00432814861535071,"Chicago","IL"
12,"Get Off My Lawn",0,2,0.00270274227065849,"Burlington","VT"
13,"Beyondors",1,1,0.00184034544304003,"Santa Barbara","CA"
14,"Surly Cynic",9,6,0.000720727632623426,"Minneapolis","MN"
15,"Naptown",6,6,0.00040383485233836,"Indianapolis","IN"
16,"s.u.r.l.y. BURNSIDE",0,2,0.000351532365114945,"Gresham","OR"
17,"Geronimo",7,6,0.000285505471752928,"Dallas/Fort Worth","TX"
18,"Young OG's",0,2,0.000262906266286552,"San Diego","CA"
19,"(burnside) TIPP CITY",2,5,0.000223727755018986,"Portland","OR"
20,"Royal Stag",5,8,0.000111171489957876,"Madison","WI"
21,"Winnipeg",4,4,6.13942606574147e-05,"Winnipeg","Manitoba"
22,"Outlaw",4,9,4.63309479222585e-05,"Fayetteville","AR"
23,"Polar Vortex",2,9,2.86760384090183e-05,"Chicago","IL"
24,"Xtra Surly",0,6,2.35763507762368e-05,"Minneapolis","MN"
25,"FoG",0,5,1.18495929135417e-06,"Cincinnati","OH"
26,"Clippers",0,2,0,"Baltimore","MD"
26,"curmudgeon",2,4,0,"Houston","TX"
26,"HOV Violators",1,1,0,"Arlington","VA"
26,"Mr Miyagi",0,5,0,"Arlington","TX"
26,"Woolly Mammoth",0,1,0,"Gainesville","FL"
