"Rank","Team","Wins","Losses","Rating","City","State"
1,"Swamp Rats",6,0,5.4892982674803,"The Great Dismal Swamp","NC"
2,"Trickle Down",2,0,3,"Portland","OR"
3,"Hey Babe",2,0,3,"Minneapolis","MN"
4,"512",1,0,2,"Austin","TX"
4,"Molasses Disaster",2,0,2,"Boston","MA"
5,"Prime",2,0,1.75,"Greenville","SC"
6,"San Francisco Bridge Club",2,0,1.75,"San Francisco","CA"
7,"Members Only",1,1,1.25,"SoCal","CA"
8,"Trainwreck",1,1,1.25,"Durham","NC"
9,"Old DErty People",1,2,1.16666666666667,"Wilmington","DE"
10,"Third Party",2,1,0.833333333333333,"Washington","DC"
11,"Charge!",2,4,0.106293442440656,"Washington","DC"
12,"Old Parts and Pandas",1,1,1.86652723700644e-301,"Seattle","WA"
13,"Old Fashioned",1,1,1.08880755492042e-301,"Madison","WI"
14,"Millennial Falcons",0,2,7.77719682086016e-302,"Saint Louis","MO"
15,"Drunken Masters",0,2,0,"Somerville","MA"
15,"Fossil",0,2,0,"Tampa","FL"
15,"Mastadon",0,2,0,"Vancouver","British Columbia"
15,"Oso Busco",0,1,0,"Denver","CO"
15,"Sacramentos-Freshmakers",0,2,0,"Sacramento","CA"
