"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Surly C.O.U.G.A.R.S.",5,0,"Masters","Women","Minneapolis","MN","/teams/events/Eventteam/?TeamId=dAipsMCNq4T%2fQvj1zP4hFYLQLVW51VXrVBstLQGpSG4%3d",13,3.02673237753884
"2","iRot",2,0,"Masters","Women","Seattle","WA","/teams/events/Eventteam/?TeamId=sp6R6C6rs%2byNsnJFhQHnLaT198MJimcoQlSG8RdCt%2fQ%3d",5,3
"3","Ripe",2,0,"Masters","Women","Raleigh","NC","/teams/events/Eventteam/?TeamId=zEZsqTjJSxOh%2fu1GsXf8sPrluOP6HcmKZzZu6HAOhd4%3d",11,3
"4","Loose Cannon",3,1,"Masters","Women","Philadelphia","PA","/teams/events/Eventteam/?TeamId=t%2b%2f5aI8gS6cfAczFhBKHRPnOfURSjalAYZ39JTu6mdM%3d",7,2.39938080495356
"5","Lame Duck",4,0,"Masters","Women","Washington","DC","/teams/events/Eventteam/?TeamId=vTMCOoglIN6n5qXb2lul9LwE9TtYxViejx9fPLS5ju0%3d",6,2.05882352941177
"6","PUMAS",3,2,"Masters","Women","Ames","IA","/teams/events/Eventteam/?TeamId=XFcKBFTrURM5%2bRmRaNpVrNJi7lMkMGhyWBnko0qaTv4%3d",9,0.862156511350062
"7","ZENITH",2,2,"Masters","Women","Baltimore","MD","/teams/events/Eventteam/?TeamId=wXdFvryzMTHB0%2bPHBI7Wts1E0Y2oTGeetRGkyNrAMdM%3d",15,0.541795665634675
"8","G.O.S.E.",1,4,"Masters","Women","Minneapolis","MN","/teams/events/Eventteam/?TeamId=IXi3wOwe1JINhDfAe5nM7ZPFekJkH36Dube%2f0YqNAbo%3d",4,0.0682497013142176
"9","Winnipeg Mint",1,4,"Masters","Women","Winnipeg","Manitoba","/teams/events/Eventteam/?TeamId=xm%2blr37Ppvj6%2bpqqUctU1GPm1vAawUDNHts3skIe8lw%3d",14,0.0428614097968938
"10","Seattle Mint",1,1,"Masters","Women","Seattle","WA","/teams/events/Eventteam/?TeamId=Q1YCpBR4IBn5QeNjzZsneopaF%2b2VUkEn5wkieF3YVhM%3d",12,1.86652723700644e-301
"11","Atlantiques",1,1,"Masters","Women","Atlanta","GA","/teams/events/Eventteam/?TeamId=pMWZHKigbK%2fQU1zqpI4cxQarIjKK2aYT7ISqq4xhi2g%3d",1,1.08880755492042e-301
"12","Restless",0,2,"Masters","Women","Florida","FL","/teams/events/Eventteam/?TeamId=fU1R9Xj7qz511yMnW5GNCJ5h8b4nYKcf4gZakVzgX%2f4%3d",10,7.77719682086016e-302
"13","DC MadDames",1,3,"Masters","Women","Washington","DC","/teams/events/Eventteam/?TeamId=hJecwgsNwUzPHI2ynnCyMn6Z8BPj5a5is8K80soq9uo%3d",2,0
"14","First Ladies",0,4,"Masters","Women","Washington","DC","/teams/events/Eventteam/?TeamId=gwwMo16O8vug3ke5%2bsi%2bPPiAIrtoDpan8L8jinnF49Y%3d",3,0
"15","Portland Ho Bags",0,2,"Masters","Women","Portland","OR","/teams/events/Eventteam/?TeamId=Z1WoPuW7ZBkoa3VGLlhe%2bTvwxy7ROMUnLKGmeU7P1wA%3d",8,0
