"Rank","Team","Wins","Losses","Rating","City","State"
1,"Golden Poppies",6,0,60.4535605528957,"Oakland","CA"
2,"PDXtra",11,5,0.0174369347121752,"Portland","OR"
3,"iRot",7,1,0.0111884797453379,"Seattle","WA"
4,"Vintage",3,4,0.005775889491839,"Montreal","Quebec"
5,"Molly Grey",5,2,0.00515060171261407,"Denver","CO"
6,"Ripe",4,3,0.00454313177626043,"Raleigh","NC"
7,"Surly COUGARS",6,1,0.00428345773608094,"Minneapolis","MN"
8,"cOld Lava",2,4,0.00208798345904495,"Yay Area","CA"
9,"Aged Cheddar",3,2,0.00182484010255372,"Madison","WI"
10,"PUMAS",5,3,0.000864598289903781,"Collins","IA"
11,"Rusting Bridge Face",2,4,0.000435955227356266,"Pittsburgh","PA"
12,"Loose Cannon",1,4,0.000350869260694887,"Philadelphia","PA"
13,"Throwback",2,5,0.00012261499291609,"Edmonton","Alberta"
14,"Mint",3,5,8.98305744126833e-05,"Seattle","WA"
15,"G.O.S.E.",0,7,0,"Minneapolis","MN"
15,"Gaspee Burners",0,5,0,"Providence","RI"
15,"Hot Flash",1,4,0,"Cincinnati","OH"
15,"Yeehaw",2,4,0,"Austin","TX"
